Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Mark [metres or seconds],Event,Wind,Sex
1,9126,Kevin MAYER,1992-02-10,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",2018-09-16,1302,9126.0,Decathlon,,male
1,41:05,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2018-11-18,1248,2465.0,15 Kilometres,,male
1,34.41,Shaunae MILLER-UIBO,1994-04-15,BAH,1f1,"Mestský Stadion, Ostrava (CZE)",2019-06-20,1269,34.4,300 Metres,,female
1,4:12.33,Sifan HASSAN,1993-01-01,NED,1,"Stade Louis II, Monaco (MON)",2019-07-12,1250,252.3,One Mile,,female
1,5:52.80,Gesa Felicitas KRAUSE,1992-08-03,GER,1,"Olympiastadion, Berlin (GER)",2019-09-01,1219,352.8,2000 Metres Steeplechase,,female
1,50:32,Evaline CHIRCHIR,1998-02-02,KEN,1,Amsterdam (NED),2019-09-22,1190,3032.0,10 Miles Road,,female
1,2:14:04,Brigid KOSGEI,1994-02-20,KEN,1,"Chicago, IL (USA)",2019-10-13,1295,8044.0,Marathon,,female
1,44:20,Letesenbet GIDEY,1998-03-20,ETH,1.0,Nijmegen (NED),2019-11-17,1274,2660.0,15 Kilometres,,female
1,26:24,Rhonex KIPRUTO,1999-10-12,KEN,1,Valencia (ESP),2020-01-12,1285,1584.0,10 Kilometres,,male
1,12:35.36,Joshua CHEPTEGEI,1996-09-12,UGA,1,"Stade Louis II, Monaco (MON)",2020-08-14,1302,755.3,5000 Metres,,male
1,3:50:42,Yelena LASHMANOVA,1992-04-09,RUS,1.0,Voronovo (RUS),2020-09-05,1295,13842.0,50 Kilometres Race Walk,,female
1,26:11.00,Joshua CHEPTEGEI,1996-09-12,UGA,1,"Estadio de Atletismo del Turia, Valencia (ESP)",2020-10-07,1306,1571.0,10000 Metres,,male
1,37:25.21,Eiki TAKAHASHI,1992-11-19,JPN,1.0,"Juntendo University Stadium, Inzai (JPN)",2020-11-14,1241,2245.2,10000 Metres Race Walk,,male
1,29:01.03,Letesenbet GIDEY,1998-03-20,ETH,1,"FBK Stadium, Hengelo (NED)",2021-06-08,1303,1741.0,10000 Metres,,female
1,15.67,Yulimar ROJAS,1995-10-21,VEN,1,"National Stadium, Tokyo (JPN)",2021-08-01,1290,15.6,Triple Jump,0.7,female
1,45.94,Karsten WARHOLM,1996-02-28,NOR,1,"National Stadium, Tokyo (JPN)",2021-08-03,1341,45.9,400 Metres Hurdles,,male
1,5:21.56,Francine NIYONSABA,1993-05-05,BDI,1.0,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1241,321.5,2000 Metres,,female
1,1:02:52,Letesenbet GIDEY,1998-03-20,ETH,1,Valencia (ESP),2021-10-24,1281,3772.0,Half Marathon,,female
1,57:31,Jacob KIPLIMO,2000-11-14,UGA,1,Lisboa (POR),2021-11-21,1288,3451.0,Half Marathon,,male
1,12:49,Berihu AREGAWI,2001-02-28,ETH,1.0,Barcelona (ESP),2021-12-31,1250,769.0,5 Kilometres,,male
1,14:19,Ejgayehu TAYE,2000-02-10,ETH,1,Barcelona (ESP),2021-12-31,1244,859.0,5 Kilometres,,female
1,29:14,Yalemzerf YEHUALAW,1999-08-03,ETH,1,Castellón (ESP),2022-02-27,1290,1754.0,10 Kilometres,,female
1,50.68,Sydney MCLAUGHLIN,1999-08-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-22,1312,50.6,400 Metres Hurdles,,female
1,6.21,Armand DUPLANTIS,1999-11-10,SWE,1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1325,6.2,Pole Vault,,male
1,12.12,Tobi AMUSAN,1997-04-23,NGR,1sf1,"Hayward Field, Eugene, OR (USA)",2022-07-24,1272,12.1,100 Metres Hurdles,0.9,female
1,2:01:09,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2022-09-25,1312,7269.0,Marathon,,male
1,44:04,Benard KIBET,1999-11-25,KEN,1,Kosa (JPN),2022-12-04,1257,2644.0,10 Miles Road,,male
1,2:37:11,Klavdiya AFANASYEVA,1996-01-15,RUS,1.0,Saransk (RUS),2023-05-20,1263,9431.0,35 Kilometres Race Walk,,female
1,23.56,Ryan CROUSER,1992-12-18,USA,1,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1334,23.5,Shot Put,,male
1,3:49.11,Faith KIPYEGON,1994-01-10,KEN,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1295,229.1,1500 Metres,,female
1,7:52.11,Lamecha GIRMA,2000-11-26,ETH,1,"Stade Charléty, Paris (FRA)",2023-06-09,1295,472.1,3000 Metres Steeplechase,,male
1,7:54.10,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stade Charléty, Paris (FRA)",2023-06-09,1304,474.1,Two Miles,,male
1,14:05.20,Faith KIPYEGON,1994-01-10,KEN,1,"Stade Charléty, Paris (FRA)",2023-06-09,1272,845.2,5000 Metres,,female
