,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
33,34,37.65,HSI,,USA,1,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1253
34,34,37.65,United States,,USA,1h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1253
35,34,37.65,South Africa,,RSA,1h2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1253
36,37,37.66,United States,,USA,2,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1253
37,38,37.67,United States,,USA,1,,"Letzigrund, Zürich (SUI)",07 AUG 1991,1252
38,38,37.67,Great Britain & NI,,GBR,1,,"Olympiastadion, München (GER)",21 AUG 2022,1252
39,40,37.68,Jamaica,,JAM,2f1,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1251
40,40,37.68,Japan,,JPN,1h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1251
41,42,37.69,Canada,,CAN,1,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1250
42,43,37.7,Jamaica,,JAM,1,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1249
43,43,37.7,United States,,USA,1h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1249
44,43,37.7,Canada,,CAN,2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1249
45,46,37.71,Jamaica,,JAM,1h2,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1249
46,47,37.72,Brazil,,BRA,4,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1248
47,48,37.73,Great Britain & NI,,GBR,2,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1247
48,48,37.73,United States,,USA,2,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1247
49,48,37.73,South Africa,,RSA,5,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1247
50,51,37.75,United States,,USA,1h2,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1245
51,51,37.75,Racers Track Club,,JAM,1,,"Olympic Stadium, London (GBR)",27 JUL 2013,1245
52,53,37.76,Jamaica,,JAM,2,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1245
53,53,37.76,Great Britain & NI,,GBR,2h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1245
54,55,37.77,Great Britain & NI,,GBR,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1244
55,55,37.77,United States,,USA,1,,"Olympiastadion, Berlin (GER)",10 AUG 2003,1244
56,55,37.77,Jamaica,,JAM,1f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1244
57,58,37.78,United States,,USA,1,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1243
58,58,37.78,Great Britain & NI,,GBR,1,,"Olympic Stadium, London (GBR)",23 JUL 2016,1243
59,58,37.78,Japan,,JPN,2,,"Olympic Stadium, London (GBR)",21 JUL 2019,1243
60,58,37.78,Japan,,JPN,2h2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1243
61,62,37.79,France,,FRA,1,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1242
62,62,37.79,Santa Monica Track Club,,USA,1,,"Stade Louis II, Monaco (MON)",03 AUG 1991,1242
63,62,37.79,Santa Monica Track Club,,USA,1,,"Walnut, CA (USA)",17 APR 1994,1242
64,62,37.79,United States,,USA,1h1,,"DS, Daegu (KOR)",04 SEP 2011,1242
65,62,37.79,PR of China,,CHN,3h2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1242
66,62,37.79,PR of China,,CHN,3,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1242
67,68,37.8,United States Red,,USA,1,,"Crystal Palace, London (GBR)",26 JUL 2008,1242
68,68,37.8,Great Britain & NI,,GBR,1,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1242
69,68,37.8,Canada,,CAN,1,,"Percy Beard Track, Gainesville, FL (USA)",01 APR 2023,1242
70,71,37.81,Great Britain & NI B,,GBR,2,,"Olympic Stadium, London (GBR)",23 JUL 2016,1241
71,72,37.82,World All-Stars,,INT,2,,"Walnut, CA (USA)",17 APR 1994,1240
72,72,37.82,United States,,USA,1sf1,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1240
73,72,37.82,Racers Track Club,,JAM,1,,Kingston (JAM),14 APR 2012,1240
74,72,37.82,PR of China,,CHN,2h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1240
75,72,37.82,Jamaica,,JAM,1h1,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1240
76,77,37.83,United States,,USA,1,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1239
77,77,37.83,Canada,,CAN,3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1239
78,77,37.83,United States Blue,,USA,1,,"Stade Louis II, Monaco (MON)",20 JUL 2012,1239
79,77,37.83,Great Britain & NI,,GBR,3,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1239
80,81,37.84,Great Britain & NI,,GBR,1h1,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1238
81,81,37.84,Jamaica,,JAM,4,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1238
82,83,37.85,United States Red,,USA,1,,Cottbus (GER),08 AUG 2009,1238
83,83,37.85,Japan,,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1238
84,85,37.86,United States,,USA,1,,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1237
85,85,37.86,Canada,,CAN,1,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1237
86,87,37.87,France,,FRA,2,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1236
87,87,37.87,United States,,USA,1h3,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1236
88,87,37.87,United States,,USA,1,,"Stade Louis II, Monaco (MON)",17 JUL 2015,1236
89,87,37.87,United States,,USA,1h1,,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1236
90,91,37.88,HSI,,USA,1,,"Austin, TX (USA)",07 APR 2001,1235
91,91,37.88,France,,FRA,2h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1235
92,91,37.88,France,,FRA,4h2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1235
93,94,37.89,Santa Monica Track Club,,USA,1,,"Austin, TX (USA)",07 APR 1994,1235
94,94,37.89,Jamaica,,JAM,2,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1235
95,94,37.89,Canada,,CAN,3h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1235
96,97,37.9,United States,,USA,1,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1234
97,97,37.9,Brazil,,BRA,2,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1234
98,97,37.9,Great Britain & NI,,GBR,3,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1234
99,97,37.9,Jamaica Gold,,JAM,1,,"Philadelphia, PA (USA)",24 APR 2010,1234
0,97,37.9,PR of China,,CHN,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1234
1,97,37.9,Brazil,,BRA,2h1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1234
2,97,37.9,LSU,,INT,1f2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1234
3,104,37.91,Trinidad and Tobago,,TTO,1h2,,"DS, Daegu (KOR)",04 SEP 2011,1233
4,104,37.91,United States,,USA,1h1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1233
5,104,37.91,Netherlands,,NED,5h2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1233
6,104,37.91,Canada,,CAN,6h2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1233
7,108,37.92,United States,,USA,1,,München (GER),08 AUG 2004,1232
8,108,37.92,United States Blue,,USA,1f4,,"Philadelphia, PA (USA)",25 APR 2009,1232
9,108,37.92,Canada,,CAN,3,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1232
10,108,37.92,PR of China,,CHN,3h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1232
11,108,37.92,PR of China,,CHN,1h2,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1232
12,108,37.92,Canada,,CAN,2h2,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1232
13,114,37.93,Santa Monica Track Club,,USA,1f1,,Barcelona (ESP),16 JUL 1990,1231
14,114,37.93,HSI,,INT,1,,"Crystal Palace, London (GBR)",22 JUL 2001,1231
15,114,37.93,Great Britain & NI,,GBR,1h1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1231
16,114,37.93,Great Britain & NI,,GBR,1,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1231
17,114,37.93,Florida,,USA,2f2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1231
18,119,37.94,Nigeria,,NGR,1sf2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1231
19,119,37.94,Jamaica,,JAM,2h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1231
20,119,37.94,France,,FRA,2,,"Olympiastadion, München (GER)",21 AUG 2022,1231
21,122,37.95,HSI,,USA,1,,Gateshead (GBR),28 AUG 2000,1230
22,122,37.95,United States,,USA,1,,"CM, Madrid (ESP)",20 SEP 2002,1230
23,122,37.95,Jamaica,,JAM,1h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1230
24,122,37.95,Italy,,ITA,3h2,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1230
25,126,37.96,United States,,USA,1sf2,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1229
26,126,37.96,United States,,USA,1f1,,Linz (AUT),09 JUL 1997,1229
27,126,37.96,Trinidad and Tobago,,TTO,3h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1229
28,129,37.97,Santa Monica Track Club,,USA,1f1,,"Walnut, CA (USA)",18 APR 1992,1228
29,129,37.97,Americas,,INT,1,,"Le Grande Stade, Marrakesh (MAR)",13 SEP 2014,1228
30,129,37.97,Florida,,INT,1,,"Austin, TX (USA)",07 JUN 2019,1228
31,129,37.97,Germany,,GER,1h2,,"Olympiastadion, München (GER)",19 AUG 2022,1228
32,133,37.98,United States,,USA,1f1,,Moskva (URS),09 JUL 1986,1227
33,133,37.98,Great Britain & NI,,GBR,2,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1227
34,133,37.98,Nigeria,,NGR,2,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1227
35,133,37.98,Great Britain & NI,,GBR,5,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1227
36,133,37.98,Turkey,,TUR,2,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1227
37,138,37.99,United States,,USA,1,,Zürich (SUI),04 AUG 1993,1227
38,138,37.99,Canada,,CAN,2sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1227
39,138,37.99,United States,,USA,1sf1,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1227
40,138,37.99,Brazil,,BRA,4,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1227
41,138,37.99,United States Blue,,USA,1,,Stockholm (SWE),22 JUL 2008,1227
42,138,37.99,PR of China,,CHN,1,,Incheon (KOR),02 OCT 2014,1227
43,138,37.99,Netherlands,,NED,3,,"Olympic Stadium, London (GBR)",21 JUL 2019,1227
44,138,37.99,Germany,,GER,1f1,,"Universitätsstadion Am Biopark, Regensburg (GER)",03 JUN 2022,1227
45,146,38.0,Cuba,,CUB,3,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1226
46,146,38.0,Santa Monica Track Club,,USA,1f1,,"Walnut, CA (USA)",17 APR 1993,1226
47,146,38.0,Trinidad and Tobago,,TTO,2,,"Crystal Palace, London (GBR)",26 JUL 2008,1226
48,146,38.0,Japan,,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",19 MAY 2019,1226
49,150,38.01,United States,,USA,1f1,,"Letzigrund, Zürich (SUI)",29 AUG 2008,1225
50,150,38.01,PR of China,,CHN,2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1225
51,150,38.01,Antigua & Barbuda,,ANT,4h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1225
52,150,38.01,Brazil,,BRA,4,,"Olympic Stadium, London (GBR)",21 JUL 2019,1225
53,154,38.02,Soviet Union,,URS,2,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1224
54,154,38.02,HSI,,INT,1f1,,"Crystal Palace, London (GBR)",07 AUG 1999,1224
55,154,38.02,United States,,USA,1h2,,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1224
56,154,38.02,Jamaica,,JAM,1h2,,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1224
57,154,38.02,Great Britain & NI,,GBR,3,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1224
58,154,38.02,Germany,,GER,1,,Weinheim (GER),27 JUL 2012,1224
59,154,38.02,England,,GBR,2,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1224
60,161,38.03,United States,,USA,1,,"Rheinstadion, Düsseldorf (GER)",03 SEP 1977,1224
61,161,38.03,United States Blue,,USA,1f1,,"Philadelphia, PA (USA)",28 APR 2001,1224
62,161,38.03,Japan,,JPN,5,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1224
63,161,38.03,Trinidad and Tobago,,TTO,2f1,,"Letzigrund, Zürich (SUI)",29 AUG 2008,1224
64,161,38.03,Canada,,CAN,5h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1224
65,161,38.03,France,,FRA,2h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1224
66,161,38.03,Netherlands,,NED,3,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1224
67,161,38.03,United States,,USA,3h1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1224
68,169,38.04,TCU,,INT,1f1,,"Amherst, MA (USA)",05 JUN 1998,1223
69,169,38.04,Cuba,,CUB,3,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1223
70,169,38.04,Germany,,GER,4,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1223
71,169,38.04,Trinidad and Tobago,,TTO,2f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1223
72,169,38.04,Japan,,JPN,3,,"Olympic Stadium, London (GBR)",12 AUG 2017,1223
73,174,38.05,Great Britain & NI,,GBR,3sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1222
74,174,38.05,United States,,USA,2,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1222
75,174,38.05,Brazil,,BRA,3,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1222
76,174,38.05,United States,,USA,1,,"Crystal Palace, London (GBR)",25 JUL 2009,1222
77,174,38.05,Canada,,CAN,2h1,,"Olympic Stadium, London (GBR)",10 AUG 2012,1222
78,174,38.05,Americas,,UND,1,,Ostrava (CZE),08 SEP 2018,1222
79,174,38.05,Brazil,,BRA,1f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1222
80,174,38.05,LSU,,INT,1,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1222
81,182,38.06,Cuba,,CUB,2sf2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1221
82,182,38.06,United States,,USA,1h1,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1221
83,182,38.06,United States,,USA,1,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1221
84,182,38.06,Trinidad and Tobago,,TTO,1,,"National Stadium, Beijing (CHN)",22 AUG 2008,1221
85,182,38.06,United States,,USA,1h2,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1221
86,182,38.06,Great Britain & NI,,GBR,4h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1221
87,182,38.06,Germany,,GER,4h2,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1221
88,182,38.06,Jamaica,,JAM,4,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1221
89,182,38.06,LSU,,INT,1sf2,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1221
90,191,38.07,Nigeria,,NGR,2,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1220
91,191,38.07,Great Britain & NI,,GBR,1,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1220
92,191,38.07,Jamaica,,JAM,2h2,,"DS, Daegu (KOR)",04 SEP 2011,1220
93,191,38.07,Japan,,JPN,1h2,,"Olympic Stadium, London (GBR)",10 AUG 2012,1220
94,191,38.07,Jamaica,,JAM,1h1,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1220
95,191,38.07,Jamaica,,JAM,1f2,,San José (CRC),09 AUG 2015,1220
96,191,38.07,United States,,USA,2f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1220
97,191,38.07,PR of China,,CHN,6,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1220
98,191,38.07,Ghana,,GHA,5,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1220
99,200,38.08,Great Britain & NI,,GBR,4,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1220
0,200,38.08,United States,,USA,2,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1220
1,200,38.08,France,,FRA,1,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1220
2,200,38.08,Racers Lion Track Club,,JAM,1,,Kingston (JAM),27 FEB 2010,1220
3,200,38.08,Great Britain & NI,,GBR,1f1,,"Stadium Lille Métropole, Villeneuve d'Ascq (FRA)",24 JUN 2017,1220
4,200,38.08,United States,,USA,1f1,,"Knoxville, TN (USA)",14 APR 2018,1220
5,200,38.08,Florida State,,INT,2,,"Austin, TX (USA)",07 JUN 2019,1220
6,200,38.08,Ghana,,GHA,5h2,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1220
7,200,38.08,USA Red,,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1220
8,209,38.09,Great Britain & NI,,GBR,3,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1219
9,209,38.09,Great Britain & NI,,GBR,1,,"SGJ, Johannesburg (RSA)",12 SEP 1998,1219
10,209,38.09,Trinidad and Tobago,,TTO,2h1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1219
11,209,38.09,Germany,,GER,2,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1219
12,209,38.09,Japan,,JPN,2,,"Olympic Stadium, London (GBR)",22 JUL 2018,1219
13,209,38.09,Adidas,,USA,1f1,,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2022,1219
14,209,38.09,France,,FRA,1h2,,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1219
15,216,38.1,United States,,USA,1,,"Bruce Stadium, Canberra (AUS)",05 OCT 1985,1218
16,216,38.1,Trinidad and Tobago,,TTO,2,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1218
17,216,38.1,United States,,USA,2h2,,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1218
18,216,38.1,Racers Lion Track Club,,JAM,1f1,,Kingston (JAM),28 FEB 2009,1218
19,216,38.1,Trinidad and Tobago,,TTO,2h2,,"Olympic Stadium, London (GBR)",10 AUG 2012,1218
20,216,38.1,Brazil,,BRA,2h2,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1218
21,216,38.1,Trinidad and Tobago,,TTO,3,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1218
22,216,38.1,United States,,USA,6h2,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1218
23,216,38.1,Canada,,CAN,2h2,,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1218
24,216,38.1,South Africa,,RSA,6,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1218
25,226,38.11,Great Britain & NI,,GBR,1h2,,"Olympiastadion, Berlin (GER)",21 AUG 2009,1217
26,226,38.11,France,,FRA,1,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 2010,1217
27,226,38.11,Canada,,CAN,1f1,,"Gainesville, FL (USA)",02 APR 2016,1217
28,226,38.11,Great Britain & NI,,GBR,1h1,,"International Stadium, Yokohama (JPN)",11 MAY 2019,1217
29,226,38.11,Italy,,ITA,4h1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1217
30,231,38.12,United States,,USA,1h3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1217
31,231,38.12,Ghana,,GHA,1sf1,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1217
32,231,38.12,Trinidad and Tobago,,TTO,2,,"Olympic Stadium, London (GBR)",11 AUG 2012,1217
33,231,38.12,Great Britain & NI,,GBR,1h1,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1217
34,231,38.12,Great Britain & NI,,GBR,1h1,,"Olympisch Stadion, Amsterdam (NED)",09 JUL 2016,1217
35,231,38.12,Germany,,GER,5,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1217
36,237,38.13,Germany,,GER,1,,Weinheim (GER),02 AUG 2013,1216
37,237,38.13,Germany,,GER,1h3,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1216
38,237,38.13,Racers Lion Track Club,,JAM,1,,Kingston (JAM),22 FEB 2014,1216
39,237,38.13,Canada,,CAN,3,,"National Stadium, Beijing (CHN)",29 AUG 2015,1216
40,237,38.13,England,,GBR,1,,Gold Coast (AUS),14 APR 2018,1216
41,237,38.13,Gainesville Elite,,USA,2,,"Percy Beard Track, Gainesville, FL (USA)",01 APR 2023,1216
42,243,38.14,United States,,USA,1sf1,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1215
43,243,38.14,Great Britain & NI,,GBR,3,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1215
44,243,38.14,United States Red,,USA,1f2,,"Austin, TX (USA)",02 APR 2004,1215
45,243,38.14,Antigua & Barbuda,,ANT,1h1,,"CIBC, Toronto (CAN)",24 JUL 2015,1215
46,247,38.15,Canada,,CAN,3sf2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1214
47,247,38.15,Cuba,,CUB,4,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1214
48,247,38.15,HSI,,INT,1f1,,"Olympiastadion, Berlin (GER)",01 SEP 1998,1214
49,247,38.15,HSI,,INT,1f1,,"Walnut, CA (USA)",16 APR 2000,1214
50,247,38.15,United States,,USA,1h5,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1214
51,247,38.15,United States Blue,,USA,2,,"Olympiastadion, Berlin (GER)",10 AUG 2003,1214
52,247,38.15,Japan,,JPN,2,,"National Stadium, Beijing (CHN)",22 AUG 2008,1214
53,247,38.15,France,,FRA,3h2,,"Olympic Stadium, London (GBR)",10 AUG 2012,1214
54,247,38.15,Germany,,GER,1h2,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1214
55,247,38.15,Germany,,GER,4,,"National Stadium, Beijing (CHN)",29 AUG 2015,1214
56,247,38.15,Canada,,CAN,1f1,,"Gainesville, FL (USA)",01 APR 2017,1214
57,247,38.15,England,,GBR,1h2,,Gold Coast (AUS),13 APR 2018,1214
58,247,38.15,Great Britain & NI,,GBR,3f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1214
59,247,38.15,Jamaica,,JAM,5h1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1214
60,247,38.15,Poland,,POL,3,,"Olympiastadion, München (GER)",21 AUG 2022,1214
61,262,38.16,Canada,,CAN,1sf1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1213
62,262,38.16,Great Britain & NI,,GBR,1f1,,"Stade Charléty, Paris (FRA)",19 JUN 1999,1213
