"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
56,48,12.97,1.0,Omar MCLEOD,25 APR 1994,JAM,1,Kingston (JAM),27 JUN 2015,1260
57,48,12.97,-0.1,Sergey SHUBENKOV,04 OCT 1990,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1260
58,59,12.98,1.5,Roger KINGDOM,26 AUG 1962,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988,1258
59,59,12.98,0.2,Colin JACKSON,18 FEB 1967,GBR,1,Tokyo (JPN),15 SEP 1994,1258
60,59,12.98,0.2,Allen JOHNSON,01 MAR 1971,USA,1,Köln (GER),18 AUG 1995,1258
61,59,12.98,-0.3,Allen JOHNSON,01 MAR 1971,USA,1f1,Zürich (SUI),12 AUG 1998,1259
62,59,12.98,0.6,Mark CREAR,02 OCT 1968,USA,1,Zagreb (CRO),05 JUL 1999,1258
63,59,12.98,0.3,David OLIVER,24 APR 1982,USA,2,"Letzigrund, Zürich (SUI)",29 AUG 2008,1258
64,59,12.98,1.2,Jason RICHARDSON,04 APR 1986,USA,2,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1258
65,59,12.98,-0.9,Jason RICHARDSON,04 APR 1986,USA,2,"Alexander Stadium, Birmingham (GBR)",26 AUG 2012,1263
66,59,12.98,0.5,David OLIVER,24 APR 1982,USA,2f1,Paris (FRA),04 JUL 2015,1258
67,59,12.98,0.1,Sergey SHUBENKOV,04 OCT 1990,RUS,1,"National Stadium, Beijing (CHN)",28 AUG 2015,1258
68,59,12.98,1.2,Omar MCLEOD,25 APR 1994,JAM,1,"Shanghai Stadium, Shanghai (CHN)",14 MAY 2016,1258
69,59,12.98,0.8,Grant HOLLOWAY,19 NOV 1997,USA,1,"Austin, TX (USA)",07 JUN 2019,1258
70,59,12.98,-0.5,Grant HOLLOWAY,19 NOV 1997,USA,1,"Stade Charléty, Paris (FRA)",09 JUN 2023,1261
71,72,12.99,1.2,Colin JACKSON,18 FEB 1967,GBR,1,Bruxelles (BEL),03 SEP 1993,1256
72,72,12.99,-0.3,Colin JACKSON,18 FEB 1967,GBR,1,Madrid (ESP),06 SEP 1994,1257
73,72,12.99,0.2,Allen JOHNSON,01 MAR 1971,USA,1,"Carson, CA (USA)",24 JUN 2005,1256
74,72,12.99,1.7,Terrence TRAMMELL,23 NOV 1978,USA,2,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1256
75,72,12.99,-0.4,David OLIVER,24 APR 1982,USA,1,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,1258
76,72,12.99,1.2,Ronnie ASH,02 JUL 1988,USA,1sf1,"Sacramento, CA (USA)",29 JUN 2014,1256
77,72,12.99,0.5,Sergey SHUBENKOV,04 OCT 1990,RUS,1,Montreuil (FRA),19 JUN 2018,1256
78,72,12.99,0.7,Devon ALLEN,12 DEC 1994,USA,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1256
79,72,12.99,0.6,Grant HOLLOWAY,19 NOV 1997,USA,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1256
80,72,12.99,0.0,Rasheed BROADBELL,13 AUG 2000,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1256
81,82,13.0,0.9,Renaldo NEHEMIAH,24 MAR 1959,USA,1,"Westwood, CA (USA)",06 MAY 1979,1255
82,82,13.0,0.5,Anthony JARRETT,13 AUG 1968,GBR,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1255
83,82,13.0,-0.1,Allen JOHNSON,01 MAR 1971,USA,1,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1255
84,82,13.0,-0.3,Mark CREAR,02 OCT 1968,USA,2f1,Zürich (SUI),12 AUG 1998,1256
85,82,13.0,0.6,Anier GARCÍA,09 MAR 1976,CUB,1,"Olympic Stadium, Sydney (AUS)",25 SEP 2000,1255
86,82,13.0,-0.1,Ladji DOUCOURÉ,28 MAR 1983,FRA,1,Oslo (NOR),29 JUL 2005,1255
87,82,13.0,-0.6,Dayron ROBLES,19 NOV 1986,CUB,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1258
88,82,13.0,1.8,Xiang LIU,13 JUL 1983,CHN,2,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1255
89,82,13.0,-0.2,Dayron ROBLES,19 NOV 1986,CUB,1,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1256
90,82,13.0,0.3,David OLIVER,24 APR 1982,USA,1,"Luzhniki Stadion, Moskva (RUS)",12 AUG 2013,1255
91,82,13.0,0.8,Daniel ROBERTS,13 NOV 1997,USA,2,"Austin, TX (USA)",07 JUN 2019,1255
92,82,13.0,0.0,Trey CUNNINGHAM,26 AUG 1998,USA,1,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1255
93,82,13.0,0.3,Freddie CRITTENDEN,03 AUG 1994,USA,1,"Grand Bahama Sports Complex, Freeport (BAH)",20 AUG 2022,1255
94,95,13.01,0.3,Larry WADE,22 NOV 1974,USA,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1253
95,95,13.01,0.8,Allen JOHNSON,01 MAR 1971,USA,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1253
96,95,13.01,0.2,Dominique ARNOLD,14 SEP 1973,USA,2,"Carson, CA (USA)",24 JUN 2005,1253
97,95,13.01,-0.6,Allen JOHNSON,01 MAR 1971,USA,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1256
98,95,13.01,0.0,Xiang LIU,13 JUL 1983,CHN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",10 JUL 2007,1253
99,95,13.01,-0.4,Dayron ROBLES,19 NOV 1986,CUB,1,Shanghai (CHN),28 SEP 2007,1255
0,95,13.01,0.3,Dayron ROBLES,19 NOV 1986,CUB,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1253
1,95,13.01,1.0,David OLIVER,24 APR 1982,USA,1,"Stade Louis II, Monaco (MON)",22 JUL 2010,1253
2,95,13.01,0.8,David OLIVER,24 APR 1982,USA,1,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1253
3,95,13.01,0.1,Dayron ROBLES,19 NOV 1986,CUB,1,"Letzigrund, Zürich (SUI)",08 SEP 2011,1253
4,95,13.01,1.2,Aries MERRITT,24 JUL 1985,USA,1sf2,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1253
5,95,13.01,0.2,Orlando ORTEGA,29 JUL 1991,CUB,2,"Stade Louis II, Monaco (MON)",18 JUL 2014,1253
6,95,13.01,0.4,Omar MCLEOD,25 APR 1994,JAM,1,Kingston (JAM),02 JUL 2016,1253
7,95,13.01,0.9,Omar MCLEOD,25 APR 1994,JAM,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1253
8,95,13.01,0.3,Sergey SHUBENKOV,04 OCT 1990,ANA,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",04 JUL 2017,1253
9,95,13.01,-0.1,Omar MCLEOD,25 APR 1994,JAM,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1253
10,95,13.01,-0.6,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1256
11,95,13.01,0.0,Grant HOLLOWAY,19 NOV 1997,USA,1,"Centennial Olympic Park, Atlanta, GA (USA)",06 MAY 2023,1253
12,95,13.01,1.6,Daniel ROBERTS,13 NOV 1997,USA,1,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1253
13,114,13.02,0.6,Roger KINGDOM,26 AUG 1962,USA,1,"Olympiastadion, Berlin (GER)",18 AUG 1989,1251
14,114,13.02,0.9,Colin JACKSON,18 FEB 1967,GBR,1f1,"Olympiastadion, Berlin (GER)",30 AUG 1994,1251
15,114,13.02,1.5,Mark CREAR,02 OCT 1968,USA,1,Luzern (SUI),27 JUN 1995,1251
16,114,13.02,1.5,Colin JACKSON,18 FEB 1967,GBR,1,"Népstadion, Budapest (HUN)",22 AUG 1998,1251
17,114,13.02,1.9,Colin JACKSON,18 FEB 1967,GBR,1sf1,"Népstadion, Budapest (HUN)",22 AUG 1998,1251
18,114,13.02,0.2,Terrence TRAMMELL,23 NOV 1978,USA,3,"Carson, CA (USA)",24 JUN 2005,1251
19,114,13.02,-0.3,Ladji DOUCOURÉ,28 MAR 1983,FRA,1,Paris (FRA),01 JUL 2005,1252
20,114,13.02,1.1,Terrence TRAMMELL,23 NOV 1978,USA,3f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1251
21,114,13.02,1.5,Ryan WILSON,19 DEC 1980,USA,3,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1251
22,114,13.02,1.7,David PAYNE,24 JUL 1982,USA,3,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1251
23,114,13.02,-0.4,David OLIVER,24 APR 1982,USA,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1253
24,114,13.02,-0.1,Grant HOLLOWAY,19 NOV 1997,USA,1h3,"National Stadium, Tokyo (JPN)",03 AUG 2021,1251
25,114,13.02,-1.0,Grant HOLLOWAY,19 NOV 1997,USA,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1257
26,127,13.03,-0.2,Greg FOSTER,04 AUG 1958,USA,2,Zürich (SUI),19 AUG 1981,1250
27,127,13.03,0.3,Roger KINGDOM,26 AUG 1962,USA,1,Athina (GRE),03 SEP 1988,1249
28,127,13.03,1.3,Colin JACKSON,18 FEB 1967,GBR,1,Sheffield (GBR),04 SEP 1994,1249
29,127,13.03,0.3,Mark CREAR,02 OCT 1968,USA,1,Fukuoka (JPN),13 SEP 1997,1249
30,127,13.03,1.0,Reggie TORIAN,22 APR 1975,USA,1,"New Orleans, LA (USA)",21 JUN 1998,1249
31,127,13.03,1.1,Anier GARCÍA,09 MAR 1976,CUB,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 2002,1249
32,127,13.03,0.8,Allen JOHNSON,01 MAR 1971,USA,1,"New York, NY (USA)",11 JUN 2005,1249
33,127,13.03,-0.2,Dominique ARNOLD,14 SEP 1973,USA,1f1,Zürich (SUI),19 AUG 2005,1250
34,127,13.03,0.4,Xiang LIU,13 JUL 1983,CHN,2,"Olympic Stadium, Athina (GRE)",17 SEP 2006,1249
35,127,13.03,1.0,Aries MERRITT,24 JUL 1985,USA,1,"Fayetteville, AR (USA)",04 MAY 2012,1249
36,127,13.03,0.9,David OLIVER,24 APR 1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2013,1249
37,127,13.03,-0.5,Orlando ORTEGA,29 JUL 1991,CUB,1,"Stadion PGE Narodowy, Warszawa (POL)",23 AUG 2014,1252
38,127,13.03,0.1,Hansle PARCHMENT,17 JUN 1990,JAM,2,"National Stadium, Beijing (CHN)",28 AUG 2015,1249
39,127,13.03,1.0,Devon ALLEN,12 DEC 1994,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2016,1249
40,127,13.03,0.9,Sergey SHUBENKOV,04 OCT 1990,ANA,1,Ostrava (CZE),09 SEP 2018,1249
41,127,13.03,0.7,Hansle PARCHMENT,17 JUN 1990,JAM,1,"Stade Charléty, Paris (FRA)",28 AUG 2021,1249
42,127,13.03,1.2,Daniel ROBERTS,13 NOV 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1249
43,127,13.03,0.4,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1249
44,127,13.03,1.2,Grant HOLLOWAY,19 NOV 1997,USA,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1249
45,127,13.03,0.6,Trey CUNNINGHAM,26 AUG 1998,USA,2,"Stade Louis II, Monaco (MON)",10 AUG 2022,1249
46,127,13.03,1.1,Grant HOLLOWAY,19 NOV 1997,USA,1h1,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1249
47,127,13.03,0.4,Grant HOLLOWAY,19 NOV 1997,USA,1,"FBK Stadium, Hengelo (NED)",04 JUN 2023,1249
48,149,13.04,0.0,Renaldo NEHEMIAH,24 MAR 1959,USA,1,Koblenz (GER),26 AUG 1981,1247
49,149,13.04,1.6,Roger KINGDOM,26 AUG 1962,USA,1,Berlin (GER),26 AUG 1988,1247
50,149,13.04,-0.5,Colin JACKSON,18 FEB 1967,GBR,1,Köln (GER),16 AUG 1992,1250
51,149,13.04,1.0,Colin JACKSON,18 FEB 1967,GBR,1sf1,"Olympiastadion, Helsinki (FIN)",12 AUG 1994,1247
52,149,13.04,-0.1,Anthony JARRETT,13 AUG 1968,GBR,2,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1247
53,149,13.04,-0.6,Mark CREAR,02 OCT 1968,USA,1,Luzern (SUI),02 JUL 1998,1250
54,149,13.04,0.3,Mark CREAR,02 OCT 1968,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1247
55,149,13.04,1.0,Colin JACKSON,18 FEB 1967,GBR,1,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1247
56,149,13.04,-0.3,Allen JOHNSON,01 MAR 1971,USA,1,"Commonwealth Stadium, Edmonton (CAN)",09 AUG 2001,1248
57,149,13.04,1.0,Allen JOHNSON,01 MAR 1971,USA,1,"Olympiastadion, Berlin (GER)",31 AUG 2001,1247
58,149,13.04,1.7,Allen JOHNSON,01 MAR 1971,USA,1,Fort-de-France (FRA),27 APR 2002,1247
59,149,13.04,-0.3,Allen JOHNSON,01 MAR 1971,USA,2,Paris (FRA),01 JUL 2005,1248
60,149,13.04,1.1,Dayron ROBLES,19 NOV 1986,CUB,4f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1247
61,149,13.04,-0.1,Dayron ROBLES,19 NOV 1986,CUB,1f2,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1247
62,149,13.04,0.2,David OLIVER,24 APR 1982,USA,2,Stockholm (SWE),22 JUL 2008,1247
63,149,13.04,2.0,Dayron ROBLES,19 NOV 1986,CUB,1f1,Ostrava (CZE),17 JUN 2009,1247
64,149,13.04,1.4,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",25 JUN 2011,1247
65,149,13.04,-0.6,Dayron ROBLES,19 NOV 1986,CUB,1,"Crystal Palace, London (GBR)",05 AUG 2011,1250
66,149,13.04,-0.2,Jason RICHARDSON,04 APR 1986,USA,2,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1248
67,149,13.04,-0.3,Jason RICHARDSON,04 APR 1986,USA,2,"Olympic Stadium, London (GBR)",08 AUG 2012,1248
68,149,13.04,0.4,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1247
69,149,13.04,0.1,Aries MERRITT,24 JUL 1985,USA,3,"National Stadium, Beijing (CHN)",28 AUG 2015,1247
70,149,13.04,0.0,Orlando ORTEGA,29 JUL 1991,ESP,1,"Stade Louis II, Monaco (MON)",15 JUL 2016,1247
71,149,13.04,1.8,Omar MCLEOD,25 APR 1994,JAM,1,"Des Moines, IA (USA)",29 APR 2017,1247
72,149,13.04,0.0,Omar MCLEOD,25 APR 1994,JAM,1,"Olympic Stadium, London (GBR)",07 AUG 2017,1247
73,149,13.04,1.3,Omar MCLEOD,25 APR 1994,JAM,1h1,"National Stadium, Kingston (JAM)",26 JUN 2021,1247
74,149,13.04,-0.5,Hansle PARCHMENT,17 JUN 1990,JAM,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1250
75,149,13.04,-0.2,Grant HOLLOWAY,19 NOV 1997,USA,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1248
76,149,13.04,-0.9,Shunsuke IZUMIYA,26 JAN 2000,JPN,1,"Yanmar Stadium Nagai, Osaka (JPN)",04 JUN 2023,1252
77,149,13.04,1.6,Devon ALLEN,12 DEC 1994,USA,2,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1247
78,179,13.05,1.4,Anthony DEES,06 AUG 1963,USA,1,Vigo (ESP),23 JUL 1991,1245
79,179,13.05,1.8,Colin JACKSON,18 FEB 1967,GBR,1,"Olympiastadion, Berlin (GER)",21 AUG 1992,1245
80,179,13.05,-0.8,Florian SCHWARTHOFF,07 MAY 1968,GER,1,Bremen (GER),02 JUL 1995,1249
81,179,13.05,-0.6,Allen JOHNSON,01 MAR 1971,USA,1,London (GBR),27 AUG 1995,1248
82,179,13.05,0.9,Mark CREAR,02 OCT 1968,USA,2,"Atlanta, GA (USA)",23 JUN 1996,1245
83,179,13.05,0.0,Colin JACKSON,18 FEB 1967,GBR,2,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1245
84,179,13.05,1.6,Allen JOHNSON,01 MAR 1971,USA,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1245
85,179,13.05,0.8,Dominique ARNOLD,14 SEP 1973,USA,2,"New York, NY (USA)",11 JUN 2005,1245
86,179,13.05,1.1,Xiang LIU,13 JUL 1983,CHN,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1245
87,179,13.05,1.1,Terrence TRAMMELL,23 NOV 1978,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1245
88,179,13.05,-0.1,Xiang LIU,13 JUL 1983,CHN,1,Shanghai (CHN),17 SEP 2005,1245
89,179,13.05,-1.2,Dayron ROBLES,19 NOV 1986,CUB,1,Linz (AUT),11 SEP 2007,1252
90,179,13.05,0.3,Jason RICHARDSON,04 APR 1986,USA,2,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1245
91,179,13.05,0.9,Hansle PARCHMENT,17 JUN 1990,JAM,1,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1245
92,179,13.05,-0.6,David OLIVER,24 APR 1982,USA,1h4,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1248
93,179,13.05,0.8,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,2,Paris (FRA),05 JUL 2014,1245
94,179,13.05,1.4,Omar MCLEOD,25 APR 1994,JAM,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1245
95,179,13.05,0.2,Omar MCLEOD,25 APR 1994,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1245
96,179,13.05,-0.1,Ronald LEVY,30 OCT 1992,JAM,1,"Stade Charléty, Paris (FRA)",01 JUL 2017,1245
97,179,13.05,0.7,Sergey SHUBENKOV,04 OCT 1990,RUS,1h1,"Stade Charléty, Paris (FRA)",30 JUN 2018,1245
98,179,13.05,1.0,Orlando ORTEGA,29 JUL 1991,ESP,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1245
99,179,13.05,0.6,Grant HOLLOWAY,19 NOV 1997,USA,1,"Olympiastadion, Berlin (GER)",04 SEP 2022,1245
0,179,13.05,0.5,Grant HOLLOWAY,19 NOV 1997,USA,1,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1245
1,202,13.06,1.4,Greg FOSTER,04 AUG 1958,USA,2,Vigo (ESP),23 JUL 1991,1243
2,202,13.06,0.7,Greg FOSTER,04 AUG 1958,USA,1,"National Stadium, Tokyo (JPN)",29 AUG 1991,1243
3,202,13.06,0.7,Jack PIERCE,23 SEP 1962,USA,2,"National Stadium, Tokyo (JPN)",29 AUG 1991,1243
4,202,13.06,-0.6,Colin JACKSON,18 FEB 1967,GBR,1,London (GBR),10 JUL 1992,1246
5,202,13.06,-0.5,Colin JACKSON,18 FEB 1967,GBR,1f1,Zürich (SUI),19 AUG 1992,1246
6,202,13.06,0.5,Jack PIERCE,23 SEP 1962,USA,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1243
7,202,13.06,1.0,Mark CREAR,02 OCT 1968,USA,2,"New Orleans, LA (USA)",21 JUN 1998,1243
8,202,13.06,0.9,Mark CREAR,02 OCT 1968,USA,1,"New York, NY (USA)",20 JUL 1998,1243
