,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
44,44,14:59.06,TV Wattenscheid 01,,GER,1,,Rhede (GER),09 JUL 1995,1176
45,46,14:59.1h,Pro Patria Az Verde,,ITA,1,,Bergamo (ITA),17 SEP 1979,1176
46,47,14:59.35,Villanova,,INT,1,,"Philadelphia, PA (USA)",28 APR 1979,1175
47,48,14:59.57,Indiana,,USA,3,,"Philadelphia, PA (USA)",30 APR 1988,1175
48,49,14:59.8h,Ireland,,IRL,2,,Dublin (IRL),28 AUG 1987,1174
49,50,15:00.23,Villanova,,INT,1,,"Philadelphia, PA (USA)",24 APR 1993,1172
50,51,15:00.69,Spain,,ESP,5,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1171
51,52,15:01.12,VFL Wolfsburg,,FRG,1,,Berlin (GER),21 JUL 1985,1169
52,53,15:01.35,Villanova,,INT,1,,"Philadelphia, PA (USA)",26 APR 1980,1168
53,54,15:01.5h,SV Bayer 04 Leverkusen,,FRG,1,,Flensburg (GER),01 AUG 1981,1168
54,55,15:01.62,Arkansas,,INT,1,,"Philadelphia, PA (USA)",25 APR 1992,1167
55,56,15:01.96,Villanova,,INT,1,,"Philadelphia, PA (USA)",25 APR 1981,1166
56,57,15:01.97,Wisconsin,,USA,2,,"Philadelphia, PA (USA)",24 APR 1993,1166
57,58,15:02.03,Reebok Aggies,,USA,3,,"Philadelphia, PA (USA)",29 APR 2000,1166
58,59,15:02.08,Arkansas,,INT,1,,"Philadelphia, PA (USA)",25 APR 1997,1166
59,60,15:02.09,Arkansas,,INT,2,,"Philadelphia, PA (USA)",23 APR 1981,1166
60,61,15:02.6h,Poland,,POL,,,Athina (GRE),05 MAY 1976,1164
61,62,15:02.63,Providence College,,INT,3,,"Philadelphia, PA (USA)",24 APR 1993,1164
62,63,15:02.66,Kenya C,,KEN,3,,Nairobi (KEN),26 APR 2014,1164
63,64,15:02.70,Georgetown,,USA,2,,"Philadelphia, PA (USA)",28 APR 1990,1163
64,65,15:02.8h,Villanova,,INT,1,,"Philadelphia, PA (USA)",24 APR 1982,1163
65,66,15:02.91,Villanova,,INT,1,,"Knoxville, TN (USA)",10 APR 1981,1163
66,67,15:03.0h,Villanova,,INT,3,,"Philadelphia, PA (USA)",24 APR 1976,1162
67,67,15:03.0h,United States,,USA,1,,Bourges (FRA),19 JUN 1977,1162
68,69,15:03.20,George Mason,,INT,2,,"Philadelphia, PA (USA)",25 APR 1985,1162
69,69,15:03.20,Kenya C,,KEN,3,,Nairobi (KEN),22 MAR 2014,1162
70,71,15:03.73,Kenya D,,KEN,4,,Nairobi (KEN),26 APR 2014,1160
71,72,15:04.07,Georgetown,,INT,2,,"Philadelphia, PA (USA)",24 APR 1980,1159
72,72,15:04.07,Providence College,,INT,2,,"Philadelphia, PA (USA)",30 APR 1994,1159
73,74,15:04.14,Michigan,,INT,2,,"Philadelphia, PA (USA)",25 APR 1997,1158
74,75,15:04.2h,France,,FRA,1,,Versailles (FRA),28 JUN 1961,1158
75,76,15:04.6h,Great Britain & NI,,GBR,2,,Athina (GRE),05 MAY 1976,1157
76,77,15:04.70,Wisconsin,,USA,3,,"Philadelphia, PA (USA)",25 APR 1985,1156
77,77,15:04.7h,Italy,,ITA,1,,Sheffield (GBR),05 JUN 1992,1156
78,79,15:05.0h,New Zealand B,,NZL,2,,Auckland (NZL),17 MAY 1975,1155
