,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
33,34,2:57.86,United States,,USA,1,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1231
34,35,2:57.87,United States,,USA,1sf2,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1231
35,36,2:57.88,Belgium,,BEL,4,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1230
36,37,2:57.90,Jamaica,,JAM,2,,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1230
37,38,2:57.91,United States,,USA,1,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1230
38,39,2:57.97,Jamaica,,JAM,1,,Winnipeg (CAN),30 JUL 1999,1229
39,40,2:58.00,Poland,,POL,1,,"New York, NY (USA)",22 JUL 1998,1228
40,41,2:58.01,Alabama,,INT,2f2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1228
41,42,2:58.03,Bahamas,,BAH,2,,"National Stadium, Beijing (CHN)",23 AUG 2008,1228
42,43,2:58.07,Jamaica,,JAM,3,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1227
43,44,2:58.12,Trinidad and Tobago,,TTO,1,,"Olympic Stadium, London (GBR)",13 AUG 2017,1227
44,45,2:58.13,United States,,USA,1h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1226
45,46,2:58.16,Jamaica,,JAM,2,,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1226
46,47,2:58.19,Bahamas,,BAH,1,,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1225
47,48,2:58.20,Trinidad and Tobago,,TTO,2,,"National Stadium, Beijing (CHN)",30 AUG 2015,1225
48,49,2:58.22,Great Britain & NI,,GBR,1,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1225
49,50,2:58.23,United States,,USA,1sf1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1225
50,51,2:58.29,Jamaica,,JAM,2sf1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1224
51,51,2:58.29,Jamaica,,JAM,1h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1224
52,53,2:58.33,Jamaica,,JAM,2,,"New York, NY (USA)",22 JUL 1998,1223
53,53,2:58.33,Botswana,,BOT,2h1,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1223
54,55,2:58.34,Trinidad and Tobago,,TTO,3f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1223
55,56,2:58.38,United States,,USA,2h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1222
56,57,2:58.39,Jamaica,,JAM,2,,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1222
57,58,2:58.42,Jamaica,,JAM,2sf2,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1222
58,59,2:58.43,United States,,USA,1f1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1222
59,60,2:58.46,Poland,,POL,5,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1221
60,61,2:58.49,Bahamas,,BAH,3,,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1221
61,62,2:58.51,Great Britain & NI,,GBR,3,,"National Stadium, Beijing (CHN)",30 AUG 2015,1220
62,62,2:58.51,Jamaica,,JAM,4,,"National Stadium, Beijing (CHN)",30 AUG 2015,1220
63,64,2:58.52,Belgium,,BEL,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1220
64,65,2:58.53,Florida,,USA,2f1,,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2022,1220
65,66,2:58.55,Poland,,POL,1h2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1220
66,67,2:58.56,Brazil,,BRA,2,,Winnipeg (CAN),30 JUL 1999,1220
67,68,2:58.58,Jamaica,,JAM,2,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1219
68,69,2:58.60,Trinidad and Tobago,,TTO,3h1,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1219
69,70,2:58.61,United States,,USA,2,,"Olympic Stadium, London (GBR)",13 AUG 2017,1219
70,71,2:58.62,Florida,,INT,1sf3,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1219
71,72,2:58.65,United States,,USA,1,,"Olympic Stadium, Montréal (CAN)",31 JUL 1976,1218
72,73,2:58.67,Trinidad and Tobago,,TTO,2h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1218
73,74,2:58.68,Great Britain & NI,,GBR,1,,"Népstadion, Budapest (HUN)",23 AUG 1998,1218
74,74,2:58.68,Nigeria,,NGR,1,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1218
75,76,2:58.69,Jamaica,,JAM,3h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1218
76,77,2:58.71,United States Blue,,USA,1,,"Philadelphia, PA (USA)",29 APR 2000,1217
77,77,2:58.71,United States,,USA,1,,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1217
78,79,2:58.72,United States,,USA,1h2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1217
79,79,2:58.72,Belgium,,BEL,3,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1217
80,81,2:58.76,Jamaica,,JAM,6,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1217
81,82,2:58.78,Jamaica,,JAM,2,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1216
82,82,2:58.78,Belgium,,BEL,3,,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1216
83,84,2:58.79,Great Britain & NI,,GBR,1,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1216
84,85,2:58.81,Great Britain & NI,,GBR,3,,"National Stadium, Beijing (CHN)",23 AUG 2008,1216
85,85,2:58.81,Italy,,ITA,7,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1216
86,87,2:58.82,Great Britain & NI,,GBR,4,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1216
87,87,2:58.82,United States,,USA,1h1,,"DS, Daegu (KOR)",01 SEP 2011,1216
88,87,2:58.82,Georgia,,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1216
89,90,2:58.83,United States U23,,USA,1,,"Miramar, FL (USA)",11 JUL 2010,1215
90,91,2:58.84,Jamaica,,JAM,1sf1,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1215
91,92,2:58.86,Great Britain & NI,,GBR,2,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1215
92,93,2:58.87,Bahamas,,BAH,1h2,,"Olympic Stadium, London (GBR)",09 AUG 2012,1215
93,93,2:58.87,United States,,USA,2h2,,"Olympic Stadium, London (GBR)",09 AUG 2012,1215
94,95,2:58.88,Poland,,POL,2,,"Népstadion, Budapest (HUN)",23 AUG 1998,1215
95,95,2:58.88,Florida,,USA,1,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1215
96,97,2:58.91,Poland,,POL,1,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1214
97,97,2:58.91,Bahamas,,BAH,2f1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1214
98,97,2:58.91,Italy,,ITA,4h1,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1214
99,100,2:58.92,Jamaica,,JAM,2,,"Philadelphia, PA (USA)",29 APR 2000,1214
0,101,2:58.96,France,,FRA,1,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1213
1,101,2:58.96,United States,,USA,1h1,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1213
2,103,2:59.00,Americas,,INT,1,,"Poljud Stadion, Split (CRO)",05 SEP 2010,1213
3,103,2:59.00,Great Britain & NI,,GBR,3,,"Olympic Stadium, London (GBR)",13 AUG 2017,1213
4,103,2:59.00,USC,,USA,1,,"Eugene, OR (USA)",08 JUN 2018,1213
5,106,2:59.02,Bahamas,,BAH,2sf1,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1212
6,107,2:59.03,Jamaica,,JAM,1,,Kuala Lumpur (MAS),21 SEP 1998,1212
7,108,2:59.05,Great Britain & NI,,GBR,1h1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1212
8,108,2:59.05,Texas A&M,,USA,1,,"Austin, TX (USA)",07 JUN 2019,1212
9,110,2:59.06,United States,,USA,1sf2,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1212
10,110,2:59.06,Botswana,,BOT,5,,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1212
11,110,2:59.06,Netherlands,,NED,5h1,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1212
12,113,2:59.12,United States,,USA,1,,"Stadio Olimpico, Roma (ITA)",06 SEP 1981,1211
13,114,2:59.13,Great Britain & NI,,GBR,2,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1211
14,114,2:59.13,Cuba,,CUB,1h2,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1211
15,114,2:59.13,Great Britain & NI,,GBR,1,,"Olympiastadion, Helsinki (FIN)",14 AUG 1994,1211
16,114,2:59.13,Jamaica,,JAM,2h1,,"DS, Daegu (KOR)",01 SEP 2011,1211
17,118,2:59.14,United States,,USA,2h2,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1211
18,118,2:59.14,Arizona State,,INT,2sf3,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1211
19,120,2:59.15,Alabama,,INT,2,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1210
20,121,2:59.16,Cuba,,CUB,3,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1210
21,122,2:59.18,United States Red,,USA,1,,"Philadelphia, PA (USA)",28 APR 2007,1210
22,122,2:59.18,Bahamas,,BAH,2,,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007,1210
23,124,2:59.19,Americas,,INT,1,,"CM, Madrid (ESP)",21 SEP 2002,1210
24,125,2:59.21,South Africa,,RSA,3h1,,"DS, Daegu (KOR)",01 SEP 2011,1209
25,125,2:59.21,North Carolina A&T,,INT,1h1,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",27 MAY 2021,1209
26,127,2:59.23,Bahamas,,BAH,3,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1209
27,127,2:59.23,United States,,USA,1h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1209
28,129,2:59.24,Alabama,,INT,1sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1209
29,130,2:59.25,Belgium,,BEL,1h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1209
30,130,2:59.25,UCLA,,INT,3,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1209
31,132,2:59.28,Belgium,,BEL,2h1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1208
32,133,2:59.29,United States,,USA,1,,"Durham, NC (USA)",13 JUL 1996,1208
33,133,2:59.29,Jamaica,,JAM,2h2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1208
34,135,2:59.30,United States,,USA,1h2,,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1208
35,135,2:59.30,United States U20,,USA,1,,San José (CRC),21 JUL 2019,1208
36,137,2:59.31,United States,,USA,1,,"DS, Daegu (KOR)",02 SEP 2011,1208
37,138,2:59.32,Nigeria,,NGR,3,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1208
38,139,2:59.33,Great Britain & NI,,GBR,1h2,,"National Stadium, Beijing (CHN)",22 AUG 2008,1208
39,139,2:59.33,Belgium,,BEL,3f1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1208
40,141,2:59.34,Jamaica,,JAM,2,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1207
41,142,2:59.35,Botswana,,BOT,3h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1207
42,142,2:59.35,Trinidad and Tobago,,TTO,2h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1207
43,142,2:59.35,Great Britain & NI,,GBR,1,,"Olympiastadion, München (GER)",20 AUG 2022,1207
44,145,2:59.37,Belgium,,BEL,4,,"National Stadium, Beijing (CHN)",23 AUG 2008,1207
45,145,2:59.37,Belgium,,BEL,3h2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1207
46,147,2:59.40,Trinidad and Tobago,,TTO,3,,"Olympic Stadium, London (GBR)",10 AUG 2012,1207
47,148,2:59.42,United States,,USA,1,,"Seattle, WA (USA)",26 JUL 1990,1206
48,148,2:59.42,United States,,USA,1,,St. Petersburg (RUS),29 JUL 1994,1206
49,148,2:59.42,Jamaica,,JAM,3,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1206
50,148,2:59.42,France,,FRA,3h1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1206
51,152,2:59.43,Cuba,,CUB,1,,Guadalajara (MEX),28 OCT 2011,1206
52,153,2:59.44,Florida,,USA,1f2,,"Ole Miss T&F Complex, Oxford, MS (USA)",14 MAY 2022,1206
53,154,2:59.45,Russia,,RUS,4h1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1206
54,155,2:59.46,Great Britain & NI,,GBR,1,,"Olympiastadion, München (GER)",22 JUN 1997,1206
55,156,2:59.47,Belgium,,BEL,3h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1205
56,156,2:59.47,Belgium,,BEL,1,,"Olympiastadion, Berlin (GER)",11 AUG 2018,1205
57,158,2:59.49,Great Britain & NI,,GBR,1h3,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1205
58,158,2:59.49,Belgium,,BEL,2,,"Olympiastadion, München (GER)",20 AUG 2022,1205
59,160,2:59.50,Colombia,,COL,4,,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1205
60,161,2:59.51,Cuba,,CUB,2,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1205
61,161,2:59.51,Japan,,JPN,4,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1205
62,161,2:59.51,UCLA,,INT,3sf3,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1205
63,164,2:59.52,United States,,USA,1h1,,"Olympic Stadium, Montréal (CAN)",30 JUL 1976,1205
64,165,2:59.53,Great Britain & NI,,GBR,4,,"Olympic Stadium, London (GBR)",10 AUG 2012,1204
65,165,2:59.53,Cuba,,CUB,6,,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1204
66,167,2:59.54,United States,,USA,1,,"Indianapolis, IN (USA)",16 AUG 1987,1204
67,168,2:59.55,United States,,USA,1h1,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1204
68,169,2:59.58,Poland,,POL,4h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1204
69,170,2:59.59,Louisiana State,,USA,1,,"Sacramento, CA (USA)",11 JUN 2005,1204
70,171,2:59.60,Jamaica,,JAM,2,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1203
71,171,2:59.60,Texas A&M,,INT,1,,"Eugene, OR (USA)",14 JUN 2014,1203
72,171,2:59.60,Trinidad and Tobago,,TTO,1,,"CIBC, Toronto (CAN)",25 JUL 2015,1203
73,171,2:59.60,Florida,,INT,2,,"Austin, TX (USA)",07 JUN 2019,1203
74,175,2:59.63,Kenya,,KEN,3h2,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1203
75,175,2:59.63,Georgia,,INT,3f2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1203
76,177,2:59.64,Kenya,,KEN,2,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1203
77,177,2:59.64,Bahamas,,BAH,2h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1203
78,177,2:59.64,France,,FRA,3,,"Olympiastadion, München (GER)",20 AUG 2022,1203
79,180,2:59.70,Australia,,AUS,4,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1202
80,181,2:59.71,Cuba,,CUB,1,,Ciudad de México (MEX),24 JUL 1988,1202
81,181,2:59.71,Great Britain & NI,,GBR,1,,"SGJ, Johannesburg (RSA)",13 SEP 1998,1202
82,181,2:59.71,Poland,,POL,3,,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1202
83,181,2:59.71,United States Blue,,USA,1,,"Philadelphia, PA (USA)",26 APR 2008,1202
84,185,2:59.72,Cuba,,CUB,2,,"Indianapolis, IN (USA)",16 AUG 1987,1202
85,186,2:59.73,Great Britain & NI,,GBR,3,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1201
86,186,2:59.73,Bahamas,,BAH,1h1,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1201
87,186,2:59.73,Florida,,USA,1f1,,"Gainesville, FL (USA)",05 APR 2014,1201
88,186,2:59.73,Tiger Olympians,,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1201
89,190,2:59.75,Jamaica,,JAM,2h1,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1201
90,191,2:59.76,Gainesville Elite,,USA,2f1,,"Gainesville, FL (USA)",05 APR 2014,1201
91,192,2:59.77,Americas,,INT,2,,"SGJ, Johannesburg (RSA)",13 SEP 1998,1201
92,193,2:59.78,Jamaica,,JAM,2,,"Philadelphia, PA (USA)",28 APR 2001,1201
93,193,2:59.78,United States Red,,USA,1,,"Philadelphia, PA (USA)",25 APR 2009,1201
94,193,2:59.78,United States,,USA,1,,London (GBR),15 JUL 2018,1201
95,193,2:59.78,Clemson,,INT,2sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1201
96,197,2:59.80,Cuba,,CUB,4h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1200
97,198,2:59.82,Kenya,,KEN,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1200
98,198,2:59.82,UCLA,,INT,3,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1200
99,200,2:59.83,Kenya,,KEN,1,,"Olympiastadion, München (GER)",10 SEP 1972,1200
0,201,2:59.84,Great Britain & NI,,GBR,1,,"Neckarstadion, Stuttgart (GER)",31 AUG 1986,1200
1,201,2:59.84,USOC SOUTH,,USA,1,,"Durham, NC (USA)",26 JUL 1987,1200
2,201,2:59.84,Europe,,INT,2,,"Poljud Stadion, Split (CRO)",05 SEP 2010,1200
3,201,2:59.84,Cuba,,CUB,2,,"CIBC, Toronto (CAN)",25 JUL 2015,1200
4,205,2:59.85,Great Britain & NI,,GBR,1,,Gateshead (GBR),19 AUG 1996,1199
5,205,2:59.85,United States,,USA,1h2,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1199
6,205,2:59.85,Poland,,POL,2,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1199
7,208,2:59.86,German Democratic Republic,,GDR,1,,Erfurt (GER),23 JUN 1985,1199
8,208,2:59.86,USOC NORTH,,USA,2,,"Durham, NC (USA)",26 JUL 1987,1199
9,208,2:59.86,USA White,,USA,1,,"Austin, TX (USA)",08 APR 2006,1199
10,211,2:59.87,South Africa,,RSA,2,,"DS, Daegu (KOR)",02 SEP 2011,1199
11,212,2:59.88,Jamaica,,JAM,2,,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995,1199
12,212,2:59.88,Bahamas,,BAH,2h2,,"National Stadium, Beijing (CHN)",22 AUG 2008,1199
13,212,2:59.88,Jamaica,,JAM,2,,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1199
14,215,2:59.89,France,,FRA,3,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1199
15,215,2:59.89,United States,,USA,1h1,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1199
16,217,2:59.91,USOC SOUTH,,USA,1,,"Colorado Springs, CO (USA)",03 JUL 1983,1199
17,217,2:59.91,UCLA,,USA,1,,"Eugene, OR (USA)",04 JUN 1988,1199
18,217,2:59.91,Poland,,POL,1sf2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1199
19,217,2:59.91,Texas A&M,,USA,2,,"Eugene, OR (USA)",08 JUN 2018,1199
20,221,2:59.93,Kentucky,,INT,2f2,,"Ole Miss T&F Complex, Oxford, MS (USA)",14 MAY 2022,1198
21,222,2:59.95,Yugoslavia,,YUG,2h3,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1198
22,222,2:59.95,Georgia Tech,,USA,1,,"Austin, TX (USA)",06 JUN 1992,1198
23,222,2:59.95,Botswana,,BOT,5h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1198
24,222,2:59.95,Texas A&M,,USA,1sf1,,"Eugene, OR (USA)",07 JUN 2017,1198
25,222,2:59.95,Texas A&M,,USA,1sf1,,"Eugene, OR (USA)",07 JUN 2017,1198
26,227,2:59.96,Federal Republic of Germany,,FRG,4,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1198
27,228,2:59.98,Jamaica,,JAM,2h2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1197
28,228,2:59.98,United States,,USA,1h1,,"National Stadium, Beijing (CHN)",22 AUG 2008,1197
29,228,2:59.98,Texas A&M,,USA,1,,"Eugene, OR (USA)",09 JUN 2017,1197
30,228,2:59.98,Texas A&M,,USA,1,,"Eugene, OR (USA)",09 JUN 2017,1197
31,228,2:59.98,USC,,USA,2,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1197
32,233,2:59.99,Germany,,GER,3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1197
33,233,2:59.99,Florida State,,INT,1,,"Fayetteville, AR (USA)",13 JUN 2009,1197
34,235,3:00.01,Jamaica,,JAM,2h1,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1197
35,236,3:00.02,Australia,,AUS,5,,"National Stadium, Beijing (CHN)",23 AUG 2008,1197
36,236,3:00.02,Florida,,USA,1,,"Des Moines, IA (USA)",09 JUN 2012,1197
37,236,3:00.02,Africa,,INT,1,,"Le Grande Stade, Marrakesh (MAR)",14 SEP 2014,1197
38,239,3:00.03,Trinidad and Tobago,,TTO,5,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1197
39,240,3:00.04,Waco All-Stars,,INT,2,,"Austin, TX (USA)",08 APR 2006,1197
40,240,3:00.04,United States Blue,,USA,2,,"Philadelphia, PA (USA)",28 APR 2007,1197
41,240,3:00.04,Baylor,,USA,1,,"Sacramento, CA (USA)",09 JUN 2007,1197
42,240,3:00.04,Belgium,,BEL,4,,"Olympic Stadium, London (GBR)",13 AUG 2017,1197
43,244,3:00.05,Jamaica,,JAM,1h2,,Winnipeg (CAN),28 JUL 1999,1196
44,244,3:00.05,Poland,,POL,3,,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007,1196
45,246,3:00.07,German Democratic Republic,,GDR,1,,Erfurt (GER),01 JUN 1984,1196
46,246,3:00.07,United States,,USA,1,,San José (CRC),09 AUG 2015,1196
47,246,3:00.07,Houston,,USA,3,,"Austin, TX (USA)",07 JUN 2019,1196
48,246,3:00.07,Hurdle Mechanic,,USA,2,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1196
49,250,3:00.09,France,,FRA,4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1196
50,250,3:00.09,United States Red,,USA,1,,"Philadelphia, PA (USA)",29 APR 2006,1196
51,250,3:00.09,Jamaica,,JAM,3h2,,"National Stadium, Beijing (CHN)",22 AUG 2008,1196
52,253,3:00.10,Jamaica,,JAM,3,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1196
53,253,3:00.10,Jamaica,,JAM,3,,"DS, Daegu (KOR)",02 SEP 2011,1196
54,253,3:00.10,Europe,,INT,2,,"Le Grande Stade, Marrakesh (MAR)",14 SEP 2014,1196
