"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
22,22,9.77,1.5,Asafa POWELL,23 NOV 1982,JAM,1,"International Stadium, Gateshead (GBR)",11 JUN 2006,1287
23,22,9.77,1.0,Asafa POWELL,23 NOV 1982,JAM,1f1,Zürich (SUI),18 AUG 2006,1287
24,22,9.77,1.6,Tyson GAY,09 AUG 1982,USA,1qf1,"Eugene, OR (USA)",28 JUN 2008,1287
25,22,9.77,-1.3,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1294
26,22,9.77,0.9,Asafa POWELL,23 NOV 1982,JAM,1h1,Rieti (ITA),07 SEP 2008,1287
27,22,9.77,0.4,Tyson GAY,09 AUG 1982,USA,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1287
28,22,9.77,-0.3,Usain BOLT,21 AUG 1986,JAM,1,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1288
29,22,9.77,0.6,Justin GATLIN,10 FEB 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1287
30,22,9.77,0.9,Justin GATLIN,10 FEB 1982,USA,1sf2,"National Stadium, Beijing (CHN)",23 AUG 2015,1287
31,22,9.77,1.5,Trayvon BROMELL,10 JUL 1995,USA,1f2,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1287
32,22,9.77,1.2,Ferdinand OMANYALA,02 JAN 1996,KEN,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1287
33,22,9.77,1.8,Fred KERLEY,07 MAY 1995,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1287
34,35,9.78,0.0,Asafa POWELL,23 NOV 1982,JAM,1,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1283
35,35,9.78,-0.4,Tyson GAY,09 AUG 1982,USA,1,"Crystal Palace, London (GBR)",13 AUG 2010,1285
36,35,9.78,0.9,Nesta CARTER,11 OCT 1985,JAM,1,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1283
37,35,9.78,1.0,Asafa POWELL,23 NOV 1982,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1283
38,35,9.78,-0.3,Justin GATLIN,10 FEB 1982,USA,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1284
39,40,9.79,0.1,Maurice GREENE,23 JUL 1974,USA,1f3,Athina (GRE),16 JUN 1999,1280
40,40,9.79,-0.2,Usain BOLT,21 AUG 1986,JAM,1,Paris-St-Denis (FRA),17 JUL 2009,1281
41,40,9.79,0.1,Tyson GAY,09 AUG 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1280
42,40,9.79,1.1,Tyson GAY,09 AUG 1982,USA,1h1,"Clermont, FL (USA)",04 JUN 2011,1280
43,40,9.79,0.6,Usain BOLT,21 AUG 1986,JAM,1,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1280
44,40,9.79,1.5,Justin GATLIN,10 FEB 1982,USA,3,"Olympic Stadium, London (GBR)",05 AUG 2012,1280
45,40,9.79,-0.5,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",23 AUG 2015,1283
46,40,9.79,-0.3,Christian COLEMAN,06 MAR 1996,USA,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1281
47,40,9.79,0.1,Fred KERLEY,07 MAY 1995,USA,1h2,"Hayward Field, Eugene, OR (USA)",15 JUL 2022,1280
48,49,9.8,0.2,Maurice GREENE,23 JUL 1974,USA,1,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1276
49,49,9.8,1.3,Steve MULLINGS,29 NOV 1982,JAM,1,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1276
50,49,9.8,1.8,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2012,1276
51,49,9.8,0.6,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1276
52,49,9.8,0.1,Justin GATLIN,10 FEB 1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1276
53,49,9.8,-0.5,Justin GATLIN,10 FEB 1982,USA,2,"National Stadium, Beijing (CHN)",23 AUG 2015,1279
54,49,9.8,1.6,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1276
55,49,9.8,0.8,Trayvon BROMELL,10 JUL 1995,USA,1,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1276
56,49,9.8,0.1,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,"National Stadium, Tokyo (JPN)",01 AUG 2021,1276
57,58,9.81,0.0,Usain BOLT,21 AUG 1986,JAM,1,"Letzigrund, Zürich (SUI)",28 AUG 2009,1273
58,58,9.81,1.3,Asafa POWELL,23 NOV 1982,JAM,1,Paris (FRA),04 JUL 2015,1273
59,58,9.81,0.2,Usain BOLT,21 AUG 1986,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1273
60,58,9.81,-0.1,Christian COLEMAN,06 MAR 1996,USA,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1273
61,58,9.81,1.5,Trayvon BROMELL,10 JUL 1995,USA,1sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1273
62,63,9.82,-0.2,Maurice GREENE,23 JUL 1974,USA,1,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1270
63,63,9.82,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stade Louis II, Monaco (MON)",29 JUL 2008,1269
64,63,9.82,1.4,Asafa POWELL,23 NOV 1982,JAM,1,Rieti (ITA),07 SEP 2008,1269
65,63,9.82,1.4,Asafa POWELL,23 NOV 1982,JAM,1,Szczecin (POL),15 SEP 2009,1269
66,63,9.82,0.6,Asafa POWELL,23 NOV 1982,JAM,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1269
67,63,9.82,0.5,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1269
68,63,9.82,0.0,Yohan BLAKE,26 DEC 1989,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2011,1269
69,63,9.82,0.1,Yohan BLAKE,26 DEC 1989,JAM,1,"Olympiastadion, Berlin (GER)",11 SEP 2011,1269
70,63,9.82,1.8,Usain BOLT,21 AUG 1986,JAM,1f1,"National Stadium, Kingston (JAM)",05 MAY 2012,1269
71,63,9.82,0.7,Justin GATLIN,10 FEB 1982,USA,1sf1,"Olympic Stadium, London (GBR)",05 AUG 2012,1269
72,63,9.82,1.7,Richard THOMPSON,07 JUN 1985,TTO,1f2,Port-of-Spain (TTO),21 JUN 2014,1269
73,63,9.82,-0.1,Justin GATLIN,10 FEB 1982,USA,1,Linz (AUT),14 JUL 2014,1269
74,63,9.82,1.3,Christian COLEMAN,06 MAR 1996,USA,1sf1,"Eugene, OR (USA)",07 JUN 2017,1269
75,76,9.83,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 SEP 2007,1267
76,76,9.83,-0.5,Usain BOLT,21 AUG 1986,JAM,1f1,"Letzigrund, Zürich (SUI)",29 AUG 2008,1269
77,76,9.83,-1.3,Asafa POWELL,23 NOV 1982,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1273
78,76,9.83,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1269
79,76,9.83,0.7,Justin GATLIN,10 FEB 1982,USA,1f2,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1266
80,76,9.83,1.7,Justin GATLIN,10 FEB 1982,USA,1sf1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1266
81,76,9.83,0.9,Bingtian SU,29 AUG 1989,CHN,1sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
82,76,9.83,0.9,Ronnie BAKER,15 OCT 1993,USA,2sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
83,76,9.83,1.5,Fred KERLEY,07 MAY 1995,USA,1h2,"Hayward Field, Eugene, OR (USA)",23 JUN 2022,1266
84,76,9.83,1.3,Zharnel HUGHES,13 JUL 1995,GBR,1,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1266
85,86,9.84,0.7,Donovan BAILEY,16 DEC 1967,CAN,1,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1262
86,86,9.84,0.2,Bruny SURIN,12 JUL 1967,CAN,2,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1262
87,86,9.84,1.8,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),07 MAY 2005,1262
88,86,9.84,1.0,Tyson GAY,09 AUG 1982,USA,2f1,Zürich (SUI),18 AUG 2006,1262
89,86,9.84,-0.5,Tyson GAY,09 AUG 1982,USA,1,"Indianapolis, IN (USA)",22 JUN 2007,1265
90,86,9.84,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1263
91,86,9.84,0.9,Asafa POWELL,23 NOV 1982,JAM,3,"Olympiastadion, Berlin (GER)",16 AUG 2009,1262
92,86,9.84,-0.3,Usain BOLT,21 AUG 1986,JAM,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1263
93,86,9.84,0.0,Tyson GAY,09 AUG 1982,USA,1,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1262
94,86,9.84,0.5,Yohan BLAKE,26 DEC 1989,JAM,1,George Town (CAY),09 MAY 2012,1262
95,86,9.84,1.8,Asafa POWELL,23 NOV 1982,JAM,1f1,"National Stadium, Kingston (JAM)",09 MAY 2015,1262
96,86,9.84,1.3,Trayvon BROMELL,10 JUL 1995,USA,1h4,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1262
97,86,9.84,0.9,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),26 JUN 2015,1262
98,86,9.84,1.6,Trayvon BROMELL,10 JUL 1995,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1262
99,86,9.84,1.2,Akani SIMBINE,21 SEP 1993,RSA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1262
0,86,9.84,0.1,Fred KERLEY,07 MAY 1995,USA,2,"National Stadium, Tokyo (JPN)",01 AUG 2021,1262
1,86,9.84,0.9,Lamont Marcell JACOBS,26 SEP 1994,ITA,3sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,1262
2,86,9.84,-0.5,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1265
3,104,9.85,1.2,Leroy BURRELL,21 FEB 1967,USA,1f3,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1259
4,104,9.85,0.8,Maurice GREENE,23 JUL 1974,USA,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1259
5,104,9.85,0.6,Justin GATLIN,10 FEB 1982,USA,1,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1259
6,104,9.85,0.6,Asafa POWELL,23 NOV 1982,JAM,1,Ostrava (CZE),09 JUN 2005,1259
7,104,9.85,1.7,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1,Doha (QAT),12 MAY 2006,1259
8,104,9.85,0.1,Asafa POWELL,23 NOV 1982,JAM,1f1,Paris (FRA),08 JUL 2006,1259
9,104,9.85,0.5,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1259
10,104,9.85,-0.5,Tyson GAY,09 AUG 1982,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1262
11,104,9.85,1.7,Tyson GAY,09 AUG 1982,USA,2f1,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1259
12,104,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),28 JUN 2008,1259
13,104,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1sf1,"National Stadium, Beijing (CHN)",16 AUG 2008,1259
14,104,9.85,2.0,Asafa POWELL,23 NOV 1982,JAM,2,Shanghai (CHN),20 SEP 2009,1259
15,104,9.85,0.1,Nesta CARTER,11 OCT 1985,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1259
16,104,9.85,1.3,Michael RODGERS,24 APR 1985,USA,2,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1259
17,104,9.85,1.0,Richard THOMPSON,07 JUN 1985,TTO,1,Port-of-Spain (TTO),13 AUG 2011,1259
18,104,9.85,0.1,Usain BOLT,21 AUG 1986,JAM,1,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1259
19,104,9.85,0.6,Asafa POWELL,23 NOV 1982,JAM,2,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1259
20,104,9.85,1.6,Yohan BLAKE,26 DEC 1989,JAM,1f1,Luzern (SUI),17 JUL 2012,1259
21,104,9.85,1.7,Yohan BLAKE,26 DEC 1989,JAM,1sf3,"Olympic Stadium, London (GBR)",05 AUG 2012,1259
22,104,9.85,0.2,Usain BOLT,21 AUG 1986,JAM,1f1,"Olympic Stadium, London (GBR)",26 JUL 2013,1259
23,104,9.85,-0.3,Justin GATLIN,10 FEB 1982,USA,2,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1260
24,104,9.85,0.9,Christian COLEMAN,06 MAR 1996,USA,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1259
25,104,9.85,1.5,Marvin BRACY,15 DEC 1993,USA,2f2,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1259
26,104,9.85,0.8,Ronnie BAKER,15 OCT 1993,USA,2,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1259
27,104,9.85,-0.4,Marvin BRACY,15 DEC 1993,USA,1,"Christian Brothers HS, Memphis, TN (USA)",15 AUG 2021,1261
28,104,9.85,2.0,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1259
29,104,9.85,1.8,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1259
30,104,9.85,1.0,Yohan BLAKE,26 DEC 1989,JAM,1,"National Stadium, Kingston (JAM)",24 JUN 2022,1259
31,132,9.86,1.2,Carl LEWIS,01 JUL 1961,USA,1,"National Stadium, Tokyo (JPN)",25 AUG 1991,1255
32,132,9.86,-0.4,Frank FREDERICKS,02 OCT 1967,NAM,1f1,Lausanne (SUI),03 JUL 1996,1257
33,132,9.86,0.2,Maurice GREENE,23 JUL 1974,USA,1,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1255
34,132,9.86,1.8,Ato BOLDON,30 DEC 1973,TTO,1,"Walnut, CA (USA)",19 APR 1998,1255
35,132,9.86,-0.4,Ato BOLDON,30 DEC 1973,TTO,1,Athina (GRE),17 JUN 1998,1257
36,132,9.86,0.1,Ato BOLDON,30 DEC 1973,TTO,2f3,Athina (GRE),16 JUN 1999,1255
37,132,9.86,0.4,Ato BOLDON,30 DEC 1973,TTO,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1255
38,132,9.86,-0.2,Maurice GREENE,23 JUL 1974,USA,1,"Olympiastadion, Berlin (GER)",01 SEP 2000,1256
39,132,9.86,0.6,Francis OBIKWELU,22 NOV 1978,POR,2,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1255
40,132,9.86,0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,Stockholm (SWE),25 JUL 2006,1255
41,132,9.86,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,"Olympiastadion, Berlin (GER)",03 SEP 2006,1258
42,132,9.86,-0.2,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),27 JUN 2009,1256
43,132,9.86,0.1,Usain BOLT,21 AUG 1986,JAM,1,Daegu (KOR),19 MAY 2010,1255
44,132,9.86,1.0,Nesta CARTER,11 OCT 1985,JAM,1f2,Luzern (SUI),08 AUG 2010,1255
45,132,9.86,2.0,Asafa POWELL,23 NOV 1982,JAM,1,"Puskás Ferenc Stadion, Budapest (HUN)",30 JUL 2011,1255
46,132,9.86,1.4,Keston BLEDMAN,08 MAR 1988,TTO,1f2,Port-of-Spain (TTO),23 JUN 2012,1255
47,132,9.86,1.8,Tyson GAY,09 AUG 1982,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2012,1255
48,132,9.86,1.1,Usain BOLT,21 AUG 1986,JAM,2,Kingston (JAM),29 JUN 2012,1255
49,132,9.86,0.3,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1255
50,132,9.86,-0.4,Justin GATLIN,10 FEB 1982,USA,1,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1257
51,132,9.86,1.1,Keston BLEDMAN,08 MAR 1988,TTO,1f2,Port-of-Spain (TTO),27 JUN 2015,1255
52,132,9.86,1.3,Jimmy VICAUT,27 FEB 1992,FRA,2,Paris (FRA),04 JUL 2015,1255
53,132,9.86,0.9,Michael RODGERS,24 APR 1985,USA,2sf2,"National Stadium, Beijing (CHN)",23 AUG 2015,1255
54,132,9.86,1.8,Jimmy VICAUT,27 FEB 1992,FRA,1,Montreuil-sous-Bois (FRA),07 JUN 2016,1255
55,132,9.86,2.0,Trayvon BROMELL,10 JUL 1995,USA,1sf2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1255
56,132,9.86,0.2,Usain BOLT,21 AUG 1986,JAM,1sf2,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1255
57,132,9.86,0.9,Noah LYLES,18 JUL 1997,USA,1,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1255
58,132,9.86,0.9,Christian COLEMAN,06 MAR 1996,USA,2,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1255
59,132,9.86,0.8,Divine ODUDURU,07 OCT 1996,NGR,1,"Austin, TX (USA)",07 JUN 2019,1255
60,132,9.86,1.6,Michael NORMAN,03 DEC 1997,USA,1f3,"AP Ranch, Fort Worth, TX (USA)",20 JUL 2020,1255
61,132,9.86,0.8,Fred KERLEY,07 MAY 1995,USA,3,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1255
62,132,9.86,0.6,Ferdinand OMANYALA,02 JAN 1996,KEN,1f1,"Pramtalstadion, Andorf (AUT)",14 AUG 2021,1255
63,132,9.86,0.8,Marvin BRACY,15 DEC 1993,USA,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1255
64,132,9.86,0.2,Oblique SEVILLE,16 MAR 2001,JAM,1,"National Stadium, Kingston (JAM)",21 MAY 2022,1255
65,132,9.86,0.7,Micah WILLIAMS,12 NOV 2001,USA,1h2,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,1255
66,132,9.86,1.5,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1255
67,132,9.86,-0.1,Fred KERLEY,07 MAY 1995,USA,1,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1255
68,169,9.87,0.3,Linford CHRISTIE,02 APR 1960,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1252
69,169,9.87,1.9,Frank FREDERICKS,02 OCT 1967,NAM,1,Helsinki (FIN),25 JUN 1996,1252
70,169,9.87,1.3,Ato BOLDON,30 DEC 1973,TTO,1qf1,"Olympic Stadium, Athina (GRE)",02 AUG 1997,1252
71,169,9.87,-0.2,Obadele THOMPSON,30 MAR 1976,BAR,1,"SGJ, Johannesburg (RSA)",11 SEP 1998,1253
72,169,9.87,0.6,Maurice GREENE,23 JUL 1974,USA,1,Stockholm (SWE),30 JUL 1999,1252
73,169,9.87,-0.3,Maurice GREENE,23 JUL 1974,USA,1,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1253
74,169,9.87,0.6,Maurice GREENE,23 JUL 1974,USA,3,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1252
75,169,9.87,0.2,Asafa POWELL,23 NOV 1982,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1252
76,169,9.87,0.7,Asafa POWELL,23 NOV 1982,JAM,1,"International Stadium, Gateshead (GBR)",31 AUG 2008,1252
77,169,9.87,0.4,Asafa POWELL,23 NOV 1982,JAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008,1252
78,169,9.87,0.4,Justin GATLIN,10 FEB 1982,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1252
79,169,9.87,1.0,Usain BOLT,21 AUG 1986,JAM,1sf2,"Olympic Stadium, London (GBR)",05 AUG 2012,1252
80,169,9.87,1.8,Nesta CARTER,11 OCT 1985,JAM,1f1,"Moratalaz, Madrid (ESP)",13 JUL 2013,1252
81,169,9.87,0.0,Justin GATLIN,10 FEB 1982,USA,1,Beijing (CHN),21 MAY 2014,1252
82,169,9.87,1.6,Asafa POWELL,23 NOV 1982,JAM,1f4,"Austin, TX (USA)",23 AUG 2014,1252
83,169,9.87,0.0,Tyson GAY,09 AUG 1982,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,1252
84,169,9.87,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,Luzern (SUI),14 JUL 2015,1252
85,169,9.87,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,Bellinzona (SUI),21 JUL 2015,1252
86,169,9.87,-0.8,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",24 JUL 2015,1256
87,169,9.87,-1.2,Usain BOLT,21 AUG 1986,JAM,1h2,"Olympic Stadium, London (GBR)",24 JUL 2015,1259
88,169,9.87,-0.1,Ronnie BAKER,15 OCT 1993,USA,1,"Stadion Śląski, Chorzów (POL)",22 AUG 2018,1252
89,169,9.87,-0.1,Justin GATLIN,10 FEB 1982,USA,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1252
90,169,9.87,-0.4,Fred KERLEY,07 MAY 1995,USA,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1254
91,169,9.87,1.5,Christian COLEMAN,06 MAR 1996,USA,3sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1252
92,193,9.88,1.2,Leroy BURRELL,21 FEB 1967,USA,2,"National Stadium, Tokyo (JPN)",25 AUG 1991,1248
93,193,9.88,-0.1,Ato BOLDON,30 DEC 1973,TTO,1,Kuala Lumpur (MAS),17 SEP 1998,1248
94,193,9.88,2.0,Ato BOLDON,30 DEC 1973,TTO,1,Oslo (NOR),13 JUL 2001,1248
95,193,9.88,1.8,Shawn CRAWFORD,14 JAN 1978,USA,1,"Eugene, OR (USA)",19 JUN 2004,1248
96,193,9.88,0.4,Justin GATLIN,10 FEB 1982,USA,1,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1248
97,193,9.88,2.0,Tyson GAY,09 AUG 1982,USA,1,Rethymno (GRE),21 JUL 2006,1248
98,193,9.88,1.1,Tyson GAY,09 AUG 1982,USA,1,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1248
99,193,9.88,0.4,Asafa POWELL,23 NOV 1982,JAM,1f1,Stockholm (SWE),22 JUL 2008,1248
0,193,9.88,0.4,Asafa POWELL,23 NOV 1982,JAM,2,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1248
1,193,9.88,0.0,Asafa POWELL,23 NOV 1982,JAM,2,"Letzigrund, Zürich (SUI)",28 AUG 2009,1248
2,193,9.88,-0.2,Tyson GAY,09 AUG 1982,USA,1,Thessaloniki (GRE),12 SEP 2009,1249
3,193,9.88,1.2,Asafa POWELL,23 NOV 1982,JAM,1h2,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1248
4,193,9.88,1.0,Walter DIX,31 JAN 1986,USA,2f2,Luzern (SUI),08 AUG 2010,1248
5,193,9.88,0.9,Ryan BAILEY,13 APR 1989,USA,2,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1248
6,193,9.88,1.0,Michael FRATER,06 OCT 1982,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1248
