,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
36,37,1:20.44,HSI,,INT,2,,"Austin, TX (USA)",07 APR 2001,1202
37,38,1:20.45,Louisiana State,,INT,1f2,,"Austin, TX (USA)",09 APR 2011,1202
38,39,1:20.51,Saint Kitts and Nevis,,SKN,2,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1199
39,40,1:20.61,Texas A&M,,INT,1f2,,"Austin, TX (USA)",03 APR 2010,1196
40,41,1:20.62,Louisiana State,,INT,1f1,,"Philadelphia, PA (USA)",30 APR 2011,1195
41,42,1:20.64,United States,,USA,1,,"Philadelphia, PA (USA)",25 APR 2015,1194
42,42,1:20.64,South Africa,,RSA,1h2,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1194
43,44,1:20.66,France,,FRA,3,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1194
44,45,1:20.67,Texas A&M,,INT,1h,,"Philadelphia, PA (USA)",25 APR 2014,1193
45,46,1:20.69,Pure Athletics,,USA,1f1,,"Gainesville, FL (USA)",05 APR 2014,1193
46,47,1:20.72,Gainesville All-Stars,,INT,1,,"Gainesville, FL (USA)",29 MAR 2002,1191
47,47,1:20.72,Texas A&M,,INT,2f1,,"Philadelphia, PA (USA)",30 APR 2011,1191
48,49,1:20.74,Altis,,USA,1,,"Torrance, CA (USA)",15 APR 2017,1191
49,49,1:20.74,Arkansas,,INT,1,,"Baton Rouge, LA (USA)",29 APR 2017,1191
50,51,1:20.75,Texas A&M,,INT,1f1,,"Philadelphia, PA (USA)",27 APR 2013,1190
51,51,1:20.75,Pure Athletics,,INT,2f1,,"Gainesville, FL (USA)",30 MAR 2019,1190
52,53,1:20.78,Texas A&M,,INT,1f2,,"Austin, TX (USA)",30 MAR 2013,1189
53,53,1:20.78,Texas A&M,,INT,1f2,,"Austin, TX (USA)",29 MAR 2014,1189
54,53,1:20.78,United States,,USA,1h2,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1189
55,56,1:20.79,Central Arizona,,JAM,1,,"Walnut, CA (USA)",24 APR 1988,1189
56,56,1:20.79,Star Athletics,,USA,2f1,,"Gainesville, FL (USA)",02 APR 2016,1189
57,56,1:20.79,Pure Athletics,,INT,1,,"Gainesville, FL (USA)",31 MAR 2018,1189
58,59,1:20.80,Star Athletics,,USA,2f1,,"Gainesville, FL (USA)",01 APR 2017,1188
59,59,1:20.80,Texas,,USA,1f2,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1188
60,61,1:20.81,Sprint Capital,,USA,1f1,,"Raleigh, NC (USA)",01 APR 2000,1188
61,62,1:20.82,Louisiana State,,INT,1f2,,"Austin, TX (USA)",01 APR 2017,1188
62,63,1:20.83,Shandong,,CHN,1,,Xi'an (CHN),23 SEP 2021,1187
63,63,1:20.83,Guangdong,,CHN,2,,Xi'an (CHN),23 SEP 2021,1187
64,65,1:20.86,Rotterdam Atletiek,,NED,1,,"Sportcomplex Nenijto, Rotterdam (NED)",04 SEP 2021,1186
65,66,1:20.87,Track Wired Elite,,INT,1,,"Austin, TX (USA)",01 APR 2017,1186
66,67,1:20.88,PURE Athletics B,,USA,3f1,,"Gainesville, FL (USA)",30 MAR 2019,1185
67,68,1:20.90,Tennessee,,INT,1,,"Knoxville, TN (USA)",14 APR 2001,1185
68,69,1:20.92,Star Athletics,,INT,1f1,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1184
69,70,1:20.94,Florida,,USA,1,,"Philadelphia, PA (USA)",30 APR 2005,1183
70,70,1:20.94,United States,,USA,1,,"Philadelphia, PA (USA)",30 APR 2016,1183
71,70,1:20.94,Houston,,INT,1f2,,"Austin, TX (USA)",30 MAR 2019,1183
72,73,1:20.95,Fujian,,CHN,1,,Fuzhou (CHN),22 OCT 2022,1183
73,74,1:20.97,UTech,,INT,1f1,,"Philadelphia, PA (USA)",25 APR 2015,1182
74,74,1:20.97,Jamaica,,JAM,1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1182
75,74,1:20.97,Texas,,USA,2f2,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1182
76,77,1:20.98,United States,,USA,1,,Gdansk (POL),14 JUL 2001,1182
77,78,1:20.99,Louisiana State,,INT,1f4,,"Baton Rouge, LA (USA)",25 MAR 2011,1181
78,79,1:21.00,Star Athletics,,INT,1f1,,"Gainesville, FL (USA)",04 APR 2015,1181
79,80,1:21.02,Florida,,USA,2f2,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1180
80,81,1:21.06,Louisiana State,,USA,2f1,,"Philadelphia, PA (USA)",30 APR 2005,1179
81,82,1:21.07,Tumbleweed Track Club,,INT,3f1,,"Gainesville, FL (USA)",01 APR 2017,1178
82,83,1:21.09,Mississippi State,,INT,2f2,,"Austin, TX (USA)",03 APR 2010,1178
83,83,1:21.09,Jamaica,,JAM,3,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1178
84,85,1:21.10,Italy,,ITA,1,,Cagliari (ITA),29 SEP 1983,1177
85,85,1:21.10,United States,,USA,2,,"Gainesville, FL (USA)",31 MAR 2018,1177
86,87,1:21.11,Saint Kitts and Nevis,,SKN,1f2,,"Austin, TX (USA)",02 APR 2016,1177
87,87,1:21.11,Texas A&M,,USA,2f2,,"Austin, TX (USA)",02 APR 2016,1177
88,87,1:21.11,Canada,,CAN,1h1,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1177
89,90,1:21.12,Sichuan,,CHN,3,,Xi'an (CHN),23 SEP 2021,1176
90,91,1:21.14,Louisiana State,,INT,2f2,,"Austin, TX (USA)",02 APR 2016,1176
91,92,1:21.17,Houston,,INT,1,,"Philadelphia, PA (USA)",29 APR 2017,1175
92,93,1:21.19,Houston,,USA,3,,"Prairie View, TX (USA)",24 MAR 2018,1174
93,94,1:21.20,Houston,,USA,1f2,,"Austin, TX (USA)",31 MAR 2018,1173
94,95,1:21.21,Texas A&M,,INT,1f2,,"Austin, TX (USA)",31 MAR 2012,1173
95,96,1:21.22,Poland,,POL,,,Gdansk (POL),14 JUL 2001,1173
96,96,1:21.22,Texas A&M,,INT,1h1,,"Philadelphia, PA (USA)",23 APR 2010,1173
97,98,1:21.23,Unattached,,USA,1f1,,"Gainesville, FL (USA)",02 APR 2011,1172
98,99,1:21.25,Baylor,,USA,3f2,,"Austin, TX (USA)",03 APR 2010,1172
99,100,1:21.26,Germany,,GER,3f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1171
0,101,1:21.29,England,,GBR,1,,Birmingham (GBR),23 JUN 1989,1170
1,102,1:21.30,France,,FRA,,,Talence (FRA),27 SEP 1987,1170
2,103,1:21.31,Louisiana State,,INT,1f1,,"Philadelphia, PA (USA)",29 APR 2006,1169
3,103,1:21.31,Star Athletics,,INT,1,,"PVAMU Track Stadium, Prairie View, TX (USA)",27 MAR 2021,1169
4,103,1:21.31,Jiangsu,,CHN,4,,Xi'an (CHN),23 SEP 2021,1169
5,106,1:21.32,Ukraine,,UKR,1,,Portsmouth (GBR),05 JUN 1993,1169
6,107,1:21.34,GW Exp,,USA,2f1,,"Gainesville, FL (USA)",02 APR 2011,1168
7,108,1:21.35,Florida,,USA,2f2,,"Austin, TX (USA)",29 MAR 2014,1168
8,108,1:21.35,United States,,USA,1h2,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1168
9,110,1:21.36,Fujian,,CHN,5,,Xi'an (CHN),23 SEP 2021,1167
10,111,1:21.37,World Express AC,,INT,1f2,,"Gainesville, FL (USA)",06 APR 2007,1167
11,112,1:21.39,Trinidad and Tobago,,TTO,4,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1166
12,112,1:21.39,Houston,,INT,1,,"Prairie View, TX (USA)",23 MAR 2019,1166
13,114,1:21.40,Southern Methodist University,,INT,2,,"Philadelphia, PA (USA)",25 APR 1986,1166
14,115,1:21.41,France,,FRA,2h1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1166
15,116,1:21.42,Gainesville All-Stars,,INT,1,,"Gainesville, FL (USA)",26 MAR 2004,1165
16,117,1:21.44,Houston,,INT,2f1,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1165
17,118,1:21.45,Michael Johnson Relay,,USA,1,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1164
18,118,1:21.45,France,,FRA,2h1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1164
19,118,1:21.45,Jamaica,,JAM,2,,"Philadelphia, PA (USA)",25 APR 2015,1164
20,121,1:21.46,Germany,,GER,3h1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1164
21,122,1:21.47,Baylor,,INT,1f2,,"Des Moines, IA (USA)",29 APR 2011,1163
22,122,1:21.47,Louisiana State,,INT,3f1,,"Philadelphia, PA (USA)",26 APR 2014,1163
23,122,1:21.47,United States,,USA,1h2,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1163
24,122,1:21.47,LSU,,INT,2f2,,"Austin, TX (USA)",30 MAR 2019,1163
25,126,1:21.48,Louisiana State,,INT,2f2,,"Austin, TX (USA)",31 MAR 2018,1163
26,127,1:21.49,Mississippi State,,INT,1f1,,"Philadelphia, PA (USA)",24 APR 2010,1163
27,127,1:21.49,France,,FRA,2,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1163
28,127,1:21.49,UTSA,,INT,3f2,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1163
29,130,1:21.50,TCU,,INT,1h1,,"Philadelphia, PA (USA)",26 APR 2002,1162
30,131,1:21.51,St. Augustine's,,INT,2f1,,"Philadelphia, PA (USA)",27 APR 2013,1162
31,132,1:21.52,Tennessee,,USA,1h3,,"Philadelphia, PA (USA)",25 APR 2008,1162
32,132,1:21.52,Florida,,USA,2,,"Philadelphia, PA (USA)",25 APR 2009,1162
33,134,1:21.53,South Carolina,,USA,1f1,,"Knoxville, TN (USA)",15 APR 2000,1161
34,134,1:21.53,Florida,,USA,2f1,,"Philadelphia, PA (USA)",24 APR 2010,1161
35,136,1:21.54,Fujian,,CHN,1h2,,Xi'an (CHN),21 SEP 2021,1161
36,137,1:21.55,G.C. Foster College,,JAM,2,,"Philadelphia, PA (USA)",29 APR 2017,1160
37,138,1:21.57,Florida,,USA,2f1,,"Knoxville, TN (USA)",15 APR 2000,1160
38,138,1:21.57,Zenith Velocity AC,,INT,1f1,,"Gainesville, FL (USA)",07 APR 2012,1160
39,140,1:21.58,Mississippi State,,INT,1,,"Philadelphia, PA (USA)",26 APR 2002,1159
40,141,1:21.60,South Carolina,,INT,3,,"Philadelphia, PA (USA)",25 APR 2009,1159
41,142,1:21.61,UTech,,INT,1h3,,"Philadelphia, PA (USA)",25 APR 2014,1158
42,143,1:21.62,Nike Comptrack,,INT,2,,"Philadelphia, PA (USA)",25 APR 1992,1158
43,144,1:21.63,Russia,,RUS,,,Sheffield (GBR),05 JUN 1992,1157
44,144,1:21.63,Jamaica,,JAM,2,,"Philadelphia, PA (USA)",28 APR 2001,1157
45,144,1:21.63,Florida,,INT,3,,"Gainesville, FL (USA)",31 MAR 2018,1157
46,144,1:21.63,Germany,,GER,2h2,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1157
47,148,1:21.64,Baylor,,USA,1,,"Des Moines, IA (USA)",23 APR 2010,1157
48,149,1:21.65,Baylor,,INT,1f1,,"Des Moines, IA (USA)",27 APR 2007,1157
49,150,1:21.66,Shandong,,CHN,1h1,,Chongqing (CHN),25 JUN 2021,1156
50,151,1:21.68,Florida,,USA,1f1,,"Gainesville, FL (USA)",03 APR 2009,1156
51,152,1:21.70,Austin All-Stars,,INT,1f1,,"Austin, TX (USA)",08 APR 2000,1155
52,152,1:21.70,PR of China,,CHN,3h2,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1155
53,154,1:21.71,UTech,,JAM,1f1,,"Philadelphia, PA (USA)",28 APR 2012,1154
54,155,1:21.72,Baylor,,USA,2f2,,"Austin, TX (USA)",31 MAR 2012,1154
55,156,1:21.73,Hungary,,HUN,,,Paris (FRA),09 JUL 1982,1154
56,156,1:21.73,Florida State,,INT,1,,"Philadelphia, PA (USA)",28 APR 2007,1154
57,158,1:21.74,Sichuan,,CHN,1h1,,Xi'an (CHN),21 SEP 2021,1153
58,159,1:21.75,Tennessee,,USA,1f1,,"Knoxville, TN (USA)",15 APR 2005,1153
59,160,1:21.76,Texas A&M,,INT,1h2,,"Philadelphia, PA (USA)",26 APR 2013,1153
60,161,1:21.81,Louisiana State,,INT,1h2,,"Philadelphia, PA (USA)",29 APR 2011,1151
61,162,1:21.82,Canada,,CAN,1f2,,"Gainesville, FL (USA)",07 APR 2012,1150
62,162,1:21.82,Guangdong,,CHN,2h2,,Xi'an (CHN),21 SEP 2021,1150
63,164,1:21.85,Germany,,GER,2,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1149
64,165,1:21.87,Mid. Tennessee State,,INT,2,,"Philadelphia, PA (USA)",28 APR 2001,1149
65,165,1:21.87,Pure Athletics,,INT,4f1,,"Gainesville, FL (USA)",01 APR 2017,1149
66,165,1:21.87,South Carolina,,USA,1f3,,"Gainesville, FL (USA)",30 MAR 2019,1149
67,168,1:21.88,Total Sports,,INT,1,,"Lawrence, KS (USA)",19 APR 2008,1148
68,168,1:21.88,Barbados,,BAR,4,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1148
69,168,1:21.88,Barbados,,BAR,2h2,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1148
70,171,1:21.90,Louisiana State,,INT,1h4,,"Philadelphia, PA (USA)",25 APR 2014,1147
71,172,1:21.91,St. Augustine's,,INT,4f1,,"Philadelphia, PA (USA)",26 APR 2014,1147
72,172,1:21.91,G.C. Foster College,,JAM,1h3,,"Philadelphia, PA (USA)",28 APR 2017,1147
73,174,1:21.92,Zenith Velocity AC,,INT,2f1,,"Gainesville, FL (USA)",04 APR 2015,1147
74,175,1:21.93,South Carolina,,INT,3f1,,"Gainesville, FL (USA)",02 APR 2016,1146
75,176,1:21.95,Houston,,USA,1f1,,"Austin, TX (USA)",08 APR 2006,1146
76,177,1:21.97,Saint Kitts and Nevis,,SKN,3h1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1145
77,177,1:21.97,Fujian,,CHN,1f2,,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1145
78,177,1:21.97,Baylor,,USA,3f2,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1145
79,180,1:21.98,Hobson's Choice,,INT,2f1,,"Lawrence, KS (USA)",19 APR 2008,1144
80,180,1:21.98,Arkansas,,INT,3f2,,"Austin, TX (USA)",02 APR 2016,1144
81,180,1:21.98,Shandong,,CHN,1,,Chongqing (CHN),25 JUN 2021,1144
82,183,1:21.99,Arkansas,,USA,1,,"Fayetteville, AR (USA)",25 MAR 2017,1144
83,183,1:21.99,Star Athletics B,,INT,2,,"PVAMU Track Stadium, Prairie View, TX (USA)",27 MAR 2021,1144
84,185,1:22.00,Florida,,USA,3f1,,"Philadelphia, PA (USA)",30 APR 2011,1144
85,185,1:22.00,Arkansas,,INT,3f2,,"Austin, TX (USA)",31 MAR 2018,1144
86,187,1:22.01,Baylor,,USA,1f3,,"Des Moines, IA (USA)",24 APR 2009,1143
87,187,1:22.01,Jamaica,,JAM,2h1,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1143
88,187,1:22.01,South Carolina,,INT,3,,"Philadelphia, PA (USA)",29 APR 2017,1143
89,187,1:22.01,Sichuan D,,CHN,1,,"Sichuan Xipu Training Base, Chengdu (CHN)",24 JUL 2020,1143
90,191,1:22.02,Baylor,,USA,1f2,,"Austin, TX (USA)",05 APR 2008,1143
91,192,1:22.03,Team U.S.A.,,USA,3f1,,"Lawrence, KS (USA)",19 APR 2008,1143
92,192,1:22.03,Texas A&M,,INT,1h4,,"Philadelphia, PA (USA)",24 APR 2009,1143
93,194,1:22.04,Texas A&M,,INT,1h3,,"Philadelphia, PA (USA)",29 APR 2011,1142
94,194,1:22.04,Houston,,INT,1,,"Philadelphia, PA (USA)",26 APR 2019,1142
95,196,1:22.05,Hurdle Mechanic,,USA,3f1,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1142
96,197,1:22.06,Maryland Elite Athletic Club,,INT,2f1,,"Raleigh, NC (USA)",01 APR 2000,1142
97,197,1:22.06,South Africa,,RSA,1,,Port Elizabeth (RSA),01 MAR 2002,1142
98,197,1:22.06,Florida,,USA,1f1,,"Gainesville, FL (USA)",04 APR 2008,1142
99,197,1:22.06,Texas A&M,,INT,1f2,,"Austin, TX (USA)",04 APR 2009,1142
0,197,1:22.06,Cuba,,CUB,1,,La Habana (CUB),15 FEB 2014,1142
1,202,1:22.07,Jiangsu,,CHN,2,,Chongqing (CHN),25 JUN 2021,1141
2,202,1:22.07,Sichuan,,CHN,2,,Fuzhou (CHN),22 OCT 2022,1141
3,204,1:22.08,South Africa,,RSA,,,Port Elizabeth (RSA),01 MAR 2002,1141
4,204,1:22.08,Florida,,USA,1f1,,"Gainesville, FL (USA)",25 MAR 2005,1141
5,204,1:22.08,Zenith Velocity AC,,INT,2f1,,"Gainesville, FL (USA)",05 APR 2014,1141
6,204,1:22.08,Nigeria,,NGR,4h2,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1141
7,208,1:22.09,Florida State,,INT,1,,"Tallahassee, FL (USA)",28 MAR 2008,1140
8,209,1:22.12,Waseda University,,JPN,1,,Yokohama (JPN),14 SEP 2014,1139
9,209,1:22.12,Arkansas,,USA,1,,"Fayetteville, AR (USA)",28 APR 2018,1139
10,211,1:22.13,Reebok Enclave,,USA,2f2,,"Philadelphia, PA (USA)",29 APR 2000,1139
11,212,1:22.15,Canada,,CAN,2,,"Philadelphia, PA (USA)",24 APR 2004,1138
12,213,1:22.16,RED,,USA,1,,"Prairie View, TX (USA)",24 MAR 2018,1138
13,213,1:22.16,Star Athletics,,INT,1,,"Prairie View, TX (USA)",03 APR 2021,1138
14,215,1:22.17,Jamaica,,JAM,1,,"Philadelphia, PA (USA)",27 APR 2002,1137
15,215,1:22.17,Zenith Velocity AC,,INT,1f1,,"Gainesville, FL (USA)",06 APR 2013,1137
16,215,1:22.17,USC,,INT,1f2,,"Gainesville, FL (USA)",05 APR 2014,1137
17,218,1:22.18,Bahamas,,BAH,4h1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1137
18,219,1:22.19,Fujian,,CHN,1,,Fuzhou (CHN),23 MAY 2021,1137
19,220,1:22.20,Jiangsu,,CHN,1,,Chengdu (CHN),16 MAY 2021,1136
20,221,1:22.21,South Carolina,,INT,3f1,,"Philadelphia, PA (USA)",24 APR 2010,1136
21,222,1:22.22,Star Athletics,,INT,2f1,,"Gainesville, FL (USA)",06 APR 2013,1136
22,223,1:22.23,St. Augustine's,,INT,2f2,,"Gainesville, FL (USA)",05 APR 2014,1135
23,223,1:22.23,USATF High Performance C,,USA,1f2,,"Gainesville, FL (USA)",30 MAR 2019,1135
24,225,1:22.26,Elite Athetes international,,INT,3f1,,"Gainesville, FL (USA)",04 APR 2015,1134
25,226,1:22.28,GW Exp,,USA,1f1,,"Raleigh, NC (USA)",31 MAR 2012,1133
26,226,1:22.28,Texas A&M,,USA,2f2,,"Austin, TX (USA)",01 APR 2017,1133
27,228,1:22.29,South Carolina,,INT,2f1,,"Gainesville, FL (USA)",03 APR 2009,1133
28,228,1:22.29,Jiangsu,,CHN,1f1,,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1133
29,230,1:22.31,Texas A&M,,INT,4f1,,"Philadelphia, PA (USA)",24 APR 2010,1132
30,230,1:22.31,Louisiana State,,INT,2,,"Baton Rouge, LA (USA)",29 APR 2017,1132
31,232,1:22.33,Arkansas,,INT,1h2,,"Philadelphia, PA (USA)",29 APR 2005,1132
32,233,1:22.34,Shandong,,CHN,2f2,,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1131
33,234,1:22.35,St. Augustine's,,INT,4,,"Philadelphia, PA (USA)",25 APR 2009,1131
34,234,1:22.35,Kenya,,KEN,5,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1131
35,236,1:22.36,Tennessee,,USA,1h2,,"Philadelphia, PA (USA)",27 APR 2007,1130
36,236,1:22.36,Saint Kitts and Nevis,,SKN,2h2,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1130
37,238,1:22.38,Poland,,POL,3h2,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1130
38,238,1:22.38,South Carolina,,INT,1,,"Philadelphia, PA (USA)",30 APR 2016,1130
39,240,1:22.39,Florida,,USA,1h2,,"Philadelphia, PA (USA)",23 APR 2010,1129
40,241,1:22.40,South Carolina,,INT,3,,"Philadelphia, PA (USA)",28 APR 2001,1129
41,241,1:22.40,Bahamas,,BAH,2h1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1129
42,241,1:22.40,Shandong,,CHN,3h2,,Xi'an (CHN),21 SEP 2021,1129
43,244,1:22.41,Japan,,JPN,1,,Tokorozawa (JPN),22 SEP 2013,1129
44,245,1:22.42,Sparta Praha,,TCH,1,,Praha (TCH),28 MAY 1988,1128
45,245,1:22.42,St. Augustine's,,INT,3f1,,"Gainesville, FL (USA)",06 APR 2013,1128
46,247,1:22.43,Mississippi State,,INT,5,,"Philadelphia, PA (USA)",25 APR 2009,1128
47,247,1:22.43,Germany,,GER,1f1,,"Stadion Śląski, Chorzów (POL)",02 MAY 2021,1128
48,247,1:22.43,Phanos,,NED,2,,"Sportcomplex Nenijto, Rotterdam (NED)",04 SEP 2021,1128
49,250,1:22.44,UTEP,,INT,1,,"Des Moines, IA (USA)",27 APR 2001,1128
50,250,1:22.44,Louisiana State,,INT,3f2,,"Austin, TX (USA)",31 MAR 2012,1128
51,252,1:22.45,Mississippi State,,INT,1,,"Mississippi State, MS (USA)",23 MAR 2018,1127
52,252,1:22.45,Mississippi State,,INT,1,,"Starkville, MS (USA)",23 MAR 2018,1127
53,254,1:22.48,Unattached,,INT,1,,"Starkville, MS (USA)",01 APR 2011,1126
54,254,1:22.48,South Carolina,,INT,1f2,,"Gainesville, FL (USA)",01 APR 2017,1126
55,254,1:22.48,Liaoning,,CHN,6,,Xi'an (CHN),23 SEP 2021,1126
56,257,1:22.50,Florida,,USA,2h2,,"Philadelphia, PA (USA)",29 APR 2011,1125
57,257,1:22.50,Georgia,,USA,1f3,,"Des Moines, IA (USA)",25 APR 2014,1125
58,259,1:22.51,Chuo University,,JPN,2,,Itami (JPN),05 OCT 2014,1125
59,260,1:22.52,Clemson,,INT,2,,"Philadelphia, PA (USA)",29 APR 2000,1125
60,261,1:22.53,Auburn,,INT,2,,"Philadelphia, PA (USA)",30 APR 2016,1124
61,262,1:22.55,Kenya,,KEN,4f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1124
62,262,1:22.55,Jiangsu,,CHN,2h1,,Xi'an (CHN),21 SEP 2021,1124
63,264,1:22.56,Mississippi State,,USA,1f1,,"Athens, GA (USA)",19 APR 2008,1123
64,264,1:22.56,Kenya,,KEN,3h1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1123
65,266,1:22.57,Florida,,INT,2f1,,"Gainesville, FL (USA)",26 MAR 2004,1123
66,266,1:22.57,UNA - Nike G.W.,,INT,1f1,,"Raleigh, NC (USA)",26 MAR 2005,1123
67,266,1:22.57,Star Athletics,,USA,3f1,,"Gainesville, FL (USA)",05 APR 2014,1123
68,266,1:22.57,Mississippi State,,INT,1f3,,"Gainesville, FL (USA)",02 APR 2016,1123
69,270,1:22.58,Mississippi State,,USA,1h1,,"Philadelphia, PA (USA)",29 APR 2011,1122
70,270,1:22.58,United States Red,,USA,2,,"Prairie View, TX (USA)",23 MAR 2019,1122
