,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
77,77,7:14.3h,Russia,,RUS,3,,Sheffield (GBR),05 JUN 1992,1158
78,79,7:14.34,Florida,,USA,1,,"Philadelphia, PA (USA)",24 APR 1993,1157
79,80,7:14.37,Emmendingen,,FRG,2,,Dortmund (GER),30 JUL 1983,1157
80,81,7:14.48,Bud Light Track America,,INT,1,,"Tempe, AZ (USA)",06 APR 1985,1156
81,82,7:14.50,Texas A&M,,USA,4,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1156
82,83,7:14.54,George Mason,,INT,1,,"Philadelphia, PA (USA)",27 APR 1996,1156
83,84,7:14.64,Virginia,,USA,5,,"Philadelphia, PA (USA)",24 APR 1982,1155
84,85,7:14.65,Penn State,,USA,1,,"Philadelphia, PA (USA)",25 APR 1987,1155
85,85,7:14.65,G.S. Fiamme Azzurre,,ITA,1,,Vigevano (ITA),28 SEP 1991,1155
86,87,7:14.72,Abilene Christian,,INT,1,,"Philadelphia, PA (USA)",29 APR 1995,1155
87,88,7:14.86,Arkansas,,INT,2,,"Philadelphia, PA (USA)",25 APR 1987,1154
88,89,7:14.89,Nebraska,,INT,1,,"Des Moines, IA (USA)",26 APR 1985,1153
89,90,7:14.9h,Great Britain & NI,,GBR,2,,London (GBR),05 SEP 1970,1153
90,90,7:14.9h,Kenya,,KEN,4,,Sheffield (GBR),05 JUN 1992,1153
