"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
13,106,8.53,1.3,Yago LAMELA,24 JUL 1977,ESP,1,Castellón (ESP),18 AUG 2003,1254
14,106,8.53,0.9,Irving SALADINO,23 JAN 1983,PAN,1,Oslo (NOR),02 JUN 2006,1254
15,106,8.53,-0.2,Irving SALADINO,23 JAN 1983,PAN,1,Rio de Janeiro (BRA),13 MAY 2007,1255
16,106,8.53,-1.2,Irving SALADINO,23 JAN 1983,PAN,1,"FBK Stadium, Hengelo (NED)",26 MAY 2007,1261
17,106,8.53,0.5,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,2,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1254
18,106,8.53,1.5,Luvo MANYONGA,08 JAN 1991,RSA,1,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1254
19,120,8.52,0.0,Larry MYRICKS,10 MAR 1956,USA,1,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1251
20,120,8.52,-2.0,Carl LEWIS,01 JUL 1961,USA,1,Zürich (SUI),19 AUG 1981,1263
21,120,8.52,-0.6,Larry MYRICKS,10 MAR 1956,USA,1,"Westwood, CA (USA)",06 AUG 1989,1254
22,120,8.52,-2.3,Iván PEDROSO,17 DEC 1972,CUB,1,Paris (FRA),03 JUL 1995,1264
23,120,8.52,-0.6,Mike POWELL,10 NOV 1963,USA,2,Paris (FRA),03 JUL 1995,1254
24,120,8.52,1.6,James BECKFORD,09 JAN 1975,JAM,1,Innsbruck (AUT),29 MAY 1996,1251
25,120,8.52,0.5,Iván PEDROSO,17 DEC 1972,CUB,1,Winnipeg (CAN),25 JUL 1999,1251
26,120,8.52,0.7,Savanté STRINGFELLOW,06 NOV 1978,USA,1,"Palo Alto, CA (USA)",21 JUN 2002,1251
27,120,8.52,1.8,Jeff HENDERSON,19 FEB 1989,USA,,"CIBC, Toronto (CAN)",22 JUL 2015,1251
28,120,8.52,0.3,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,"Olympiastadion, München (GER)",16 AUG 2022,1251
29,130,8.51,1.2,Jaime JEFFERSON,17 JAN 1962,CUB,3,"Indianapolis, IN (USA)",16 AUG 1987,1249
30,130,8.51,1.6,Larry MYRICKS,10 MAR 1956,USA,1,Villeneuve d'Ascq (FRA),27 JUN 1988,1249
31,130,8.51,1.2,Carl LEWIS,01 JUL 1961,USA,1,Barcelona (ESP),16 JUL 1990,1249
32,130,8.51,0.4,Mike POWELL,10 NOV 1963,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1249
33,130,8.51,1.8,Kareem STREETE-THOMPSON,30 MAR 1973,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1249
34,130,8.51,1.7,Roland MCGHEE,15 OCT 1971,USA,2,São Paulo (BRA),14 MAY 1995,1249
35,130,8.51,-1.4,Iván PEDROSO,17 DEC 1972,CUB,1,Lille (FRA),11 JUL 1998,1257
36,130,8.51,1.8,Dwight PHILLIPS,01 OCT 1977,USA,1,Baie Mahault (FRA),01 MAY 2009,1249
37,130,8.51,1.7,Greg RUTHERFORD,17 NOV 1986,GBR,1,"Chula Vista, CA (USA)",24 APR 2014,1249
38,130,8.51,0.0,Luvo MANYONGA,08 JAN 1991,RSA,1,London (GBR),15 JUL 2018,1249
39,140,8.5,2.0,Lutz DOMBROWSKI,25 JUN 1959,GDR,1,Dresden (GER),27 JUL 1984,1247
40,140,8.5,,Larry MYRICKS,10 MAR 1956,USA,1,Rhede (GER),02 JUL 1986,1247
41,140,8.5,-0.7,Larry MYRICKS,10 MAR 1956,USA,1,Monaco (MON),02 AUG 1988,1251
42,140,8.5,1.9,Larry MYRICKS,10 MAR 1956,USA,3,"New York, NY (USA)",15 JUN 1991,1247
43,140,8.5,0.2,Llewellyn STARKS,10 FEB 1967,USA,2,Rhede (GER),07 JUL 1991,1247
44,140,8.5,0.9,Mike POWELL,10 NOV 1963,USA,1,Villeneuve d'Ascq (FRA),02 JUL 1993,1247
45,140,8.5,0.9,Iván PEDROSO,17 DEC 1972,CUB,1,Mar del Plata (ARG),19 MAR 1995,1247
46,140,8.5,-1.3,Carl LEWIS,01 JUL 1961,USA,1,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1254
47,140,8.5,0.3,Iván PEDROSO,17 DEC 1972,CUB,1,"Stade Louis II, Monaco (MON)",16 AUG 1997,1247
48,140,8.5,0.2,James BECKFORD,09 JAN 1975,JAM,2,Torino (ITA),24 JUN 1999,1247
49,140,8.5,1.3,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,2,Madrid (ESP),04 JUL 2009,1247
50,140,8.5,1.8,Jeff HENDERSON,19 FEB 1989,USA,1,"Walnut, CA (USA)",18 APR 2015,1247
51,140,8.5,0.2,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1247
52,140,8.5,0.2,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1q2,"National Stadium, Tokyo (JPN)",31 JUL 2021,1247
53,154,8.49,1.4,Carl LEWIS,01 JUL 1961,USA,,"Westwood, CA (USA)",07 AUG 1982,1245
54,154,8.49,0.9,Larry MYRICKS,10 MAR 1956,USA,1,"Houston, TX (USA)",03 AUG 1986,1245
55,154,8.49,0.7,Jaime JEFFERSON,17 JAN 1962,CUB,1,Bratislava (TCH),12 JUN 1987,1245
56,154,8.49,1.8,Mike POWELL,10 NOV 1963,USA,2,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988,1245
57,154,8.49,0.6,Mike POWELL,10 NOV 1963,USA,1,Bruxelles (BEL),25 AUG 1989,1245
58,154,8.49,-0.6,Iván PEDROSO,17 DEC 1972,CUB,1,La Habana (CUB),22 MAY 1993,1248
59,154,8.49,0.6,Mike POWELL,10 NOV 1963,USA,1,"Indianapolis, IN (USA)",25 JUN 1993,1245
60,154,8.49,-0.2,Iván PEDROSO,17 DEC 1972,CUB,1,"Stade Louis II, Monaco (MON)",09 SEP 1995,1246
61,154,8.49,1.6,James BECKFORD,09 JAN 1975,JAM,1,Cagliari (ITA),04 SEP 1996,1245
62,154,8.49,0.4,James BECKFORD,09 JAN 1975,JAM,1,Torino (ITA),24 JUN 1997,1245
63,154,8.49,1.9,Erick WALDER,05 NOV 1971,USA,1,Villeneuve d'Ascq (FRA),29 JUN 1997,1245
64,154,8.49,1.3,Yago LAMELA,24 JUL 1977,ESP,1,Guadalajara (ESP),19 JUN 1999,1245
65,154,8.49,2.0,Melvin LISTER,29 AUG 1977,USA,1,"Baton Rouge, LA (USA)",13 MAY 2000,1245
66,154,8.49,0.6,Jai TAURIMA,26 JUN 1972,AUS,2,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1245
67,154,8.49,1.9,Savanté STRINGFELLOW,06 NOV 1978,USA,1,Osaka (JPN),11 MAY 2002,1245
68,154,8.49,1.3,Irving SALADINO,23 JAN 1983,PAN,1,"Eugene, OR (USA)",10 JUN 2007,1245
69,154,8.49,1.6,Sebastian BAYER,11 JUN 1986,GER,1,Ulm (GER),04 JUL 2009,1245
70,154,8.49,0.7,Christian REIF,24 OCT 1984,GER,1f1,Weinheim (GER),31 MAY 2014,1245
71,154,8.49,-0.8,Ruswahl SAMAAI,25 SEP 1991,RSA,2,Potchefstroom (RSA),22 APR 2017,1249
72,154,8.49,-0.7,Luvo MANYONGA,08 JAN 1991,RSA,1,"Letzigrund, Zürich (SUI)",24 AUG 2017,1249
73,174,8.48,0.1,Carl LEWIS,01 JUL 1961,USA,1,"Knoxville, TN (USA)",19 JUN 1982,1243
74,174,8.48,0.1,Larry MYRICKS,10 MAR 1956,USA,1,Köln (GER),26 AUG 1984,1243
75,174,8.48,1.1,Larry MYRICKS,10 MAR 1956,USA,1,Tokyo (JPN),10 MAY 1987,1243
76,174,8.48,0.5,Mike POWELL,10 NOV 1963,USA,1,Malmö (SWE),09 AUG 1993,1243
77,174,8.48,0.8,Joe GREENE,17 FEB 1967,USA,3,São Paulo (BRA),14 MAY 1995,1243
78,174,8.48,-0.2,James BECKFORD,09 JAN 1975,JAM,1,"Stadio Olimpico, Roma (ITA)",05 JUN 1997,1244
79,174,8.48,-0.1,Iván PEDROSO,17 DEC 1972,CUB,2,"Stadio Olimpico, Roma (ITA)",05 JUN 1997,1243
80,174,8.48,1.9,Erick WALDER,05 NOV 1971,USA,2,Lille (FRA),11 JUL 1998,1243
81,174,8.48,0.6,Mohamed Salman AL KHUWALIDI,19 JUN 1981,KSA,1,Sotteville-lès-Rouen (FRA),02 JUL 2006,1243
82,174,8.48,0.1,Luvo MANYONGA,08 JAN 1991,RSA,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1243
83,174,8.48,0.4,Luvo MANYONGA,08 JAN 1991,RSA,1,"Olympic Stadium, London (GBR)",05 AUG 2017,1243
84,174,8.48,0.1,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,"Pampeloponnisiako Stadium, Patra (GRE)",06 JUN 2021,1243
85,186,8.47,,Jaime JEFFERSON,17 JAN 1962,CUB,1,Santiago de Cuba (CUB),22 FEB 1986,1240
86,186,8.47,-1.1,Carl LEWIS,01 JUL 1961,USA,1,"Houston, TX (USA)",21 MAY 1988,1246
87,186,8.47,1.5,Larry MYRICKS,10 MAR 1956,USA,1,Bern (SUI),23 AUG 1988,1240
88,186,8.47,1.8,Erick WALDER,05 NOV 1971,USA,1,"Austin, TX (USA)",05 JUN 1992,1240
89,186,8.47,1.3,Iván PEDROSO,17 DEC 1972,CUB,1,La Habana (CUB),16 MAY 1993,1240
90,186,8.47,-0.1,Mike POWELL,10 NOV 1963,USA,1,Bruxelles (BEL),03 SEP 1993,1240
91,186,8.47,0.8,Roland MCGHEE,15 OCT 1971,USA,1,Rhede (GER),29 JUL 1994,1240
92,186,8.47,0.0,Kevin DILWORTH,14 FEB 1974,USA,1,"Abilene, TX (USA)",09 MAY 1996,1240
93,186,8.47,0.9,John MOFFITT,12 DEC 1980,USA,2,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1240
94,186,8.47,1.1,Dwight PHILLIPS,01 OCT 1977,USA,1,Madrid (ESP),16 JUL 2005,1240
95,186,8.47,-1.1,Irving SALADINO,23 JAN 1983,PAN,1,Fortaleza (BRA),17 MAY 2006,1246
96,186,8.47,-0.7,Irving SALADINO,23 JAN 1983,PAN,1,"Mangueirão, Belém (BRA)",21 MAY 2006,1244
97,186,8.47,-0.2,Andrew HOWE,12 MAY 1985,ITA,2,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1241
98,186,8.47,0.1,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,2,"Olympiastadion, Berlin (GER)",22 AUG 2009,1240
99,186,8.47,1.6,Christian REIF,24 OCT 1984,GER,1,"Estadio Olímpico, Barcelona (ESP)",01 AUG 2010,1240
0,186,8.47,0.0,Jinzhe LI,01 SEP 1989,CHN,1,Bad Langensalza (GER),28 JUN 2014,1240
1,186,8.47,0.7,Jianan WANG,27 AUG 1996,CHN,1,Guiyang (CHN),16 JUN 2018,1240
2,186,8.47,-0.2,JuVaughn HARRISON,30 APR 1999,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1241
3,204,8.46,1.0,Larry MYRICKS,10 MAR 1956,USA,1,Cagliari (ITA),16 SEP 1987,1238
4,204,8.46,2.0,Leonid VOLOSHIN,30 MAR 1966,URS,1,Tallinn (EST),05 JUL 1988,1238
5,204,8.46,1.2,Leonid VOLOSHIN,30 MAR 1966,URS,1,Tallinn (EST),31 JUL 1988,1238
6,204,8.46,1.2,Larry MYRICKS,10 MAR 1956,USA,1,Villeneuve d'Ascq (FRA),25 JUN 1989,1238
7,204,8.46,-0.6,Kareem STREETE-THOMPSON,30 MAR 1973,USA,2,"Stade Louis II, Monaco (MON)",09 SEP 1995,1241
8,204,8.46,0.0,Mike CONLEY,05 OCT 1962,USA,2,"Springfield, MO (USA)",04 MAY 1996,1238
9,204,8.46,2.0,Joe GREENE,17 FEB 1967,USA,1,Sestriere (ITA),07 AUG 1996,1238
10,204,8.46,1.6,Joe GREENE,17 FEB 1967,USA,1,"Walnut, CA (USA)",20 APR 1997,1238
11,204,8.46,1.8,Cheikh Tidiane TOURE,25 JAN 1970,SEN,1,Bad Langensalza (GER),15 JUN 1997,1238
12,204,8.46,0.8,James BECKFORD,09 JAN 1975,JAM,1,Tokyo (JPN),19 SEP 1998,1238
13,204,8.46,1.0,Savanté STRINGFELLOW,06 NOV 1978,USA,1,Oxford (GBR),12 APR 2003,1238
14,204,8.46,0.0,Miguel PATE,13 JUN 1979,USA,1,Ciudad de México (MEX),03 MAY 2003,1238
15,204,8.46,0.8,Dwight PHILLIPS,01 OCT 1977,USA,1,"Stade Louis II, Monaco (MON)",10 SEP 2005,1238
16,204,8.46,0.3,Ibrahim CAMEJO,28 JUN 1982,CUB,1,Bilbao (ESP),21 JUN 2008,1238
17,204,8.46,0.1,Dwight PHILLIPS,01 OCT 1977,USA,1,"Stade Louis II, Monaco (MON)",22 JUL 2010,1238
18,204,8.46,1.3,Luis Alberto RIVERA MORALES,21 JUN 1987,MEX,1,"Central Stadium, Kazan (RUS)",12 JUL 2013,1238
19,204,8.46,0.2,Luvo MANYONGA,08 JAN 1991,RSA,1,Bloemfontein (RSA),08 MAR 2017,1238
