"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
24,112,7.17,1.1,Ese BRUME,20 JAN 1996,NGR,1,"Chula Vista, CA (USA)",29 MAY 2021,1255
25,126,7.16,2.0,Yelena BELEVSKAYA,11 OCT 1963,URS,3,Tallinn (EST),21 JUN 1986,1253
26,126,7.16,1.8,Helga RADTKE,16 MAY 1962,GDR,2,Dresden (GER),03 JUL 1986,1253
27,126,7.16,1.3,Helga RADTKE,16 MAY 1962,GDR,2,Berlin (GER),08 JUL 1987,1253
28,126,7.16,0.0,Inessa KRAVETS,05 OCT 1966,URS,1,Kharkov (URS),18 JUN 1988,1253
29,126,7.16,,Yolanda CHEN,26 JUL 1961,URS,1,Moskva (URS),30 JUL 1988,1253
30,126,7.16,1.3,Yelena SINCHUKOVA,23 JAN 1961,URS,1,Kiev (URS),11 JUL 1991,1253
31,126,7.16,-0.3,Heike DRECHSLER,16 DEC 1964,GER,1,Bruxelles (BEL),28 AUG 1992,1254
32,126,7.16,1.4,Heike DRECHSLER,16 DEC 1964,GER,1,"Estadio Panamericano, La Habana (CUB)",27 SEP 1992,1253
33,126,7.16,1.0,Heike DRECHSLER,16 DEC 1964,GER,1,"Népstadion, Budapest (HUN)",22 AUG 1998,1253
34,126,7.16,-0.1,Elva GOULBOURNE,21 JAN 1980,JAM,1,Ciudad de México (MEX),22 MAY 2004,1253
35,126,7.16,1.6,Sosthene MOGUENARA-TAROUM,17 OCT 1989,GER,1f1,Weinheim (GER),29 MAY 2016,1253
36,126,7.16,0.4,Malaika MIHAMBO,03 FEB 1994,GER,1,Berlin (GER),04 AUG 2019,1253
37,138,7.15,0.3,Anișoara CUȘMIR,28 JUN 1962,ROU,2,Bucureşti (ROU),01 AUG 1982,1251
38,138,7.15,-0.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Praha (TCH),17 AUG 1984,1252
39,138,7.15,,Heike DRECHSLER,16 DEC 1964,GDR,1,Leipzig (GER),11 AUG 1985,1251
40,138,7.15,-0.4,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Praha (TCH),28 JUN 1987,1253
41,138,7.15,1.0,Helga RADTKE,16 MAY 1962,GDR,1,Rostock (GER),22 JUN 1989,1251
42,138,7.15,,Heike DRECHSLER,16 DEC 1964,GER,1,Seoul (KOR),18 AUG 1991,1251
43,138,7.15,1.7,Heike DRECHSLER,16 DEC 1964,GER,2,Villeneuve d'Ascq (FRA),06 JUL 1992,1251
44,138,7.15,-0.5,Heike DRECHSLER,16 DEC 1964,GER,1,Nice (FRA),15 JUL 1992,1254
45,138,7.15,0.8,Heike DRECHSLER,16 DEC 1964,GER,1,Ingolstadt (GER),17 JUL 1994,1251
46,138,7.15,-0.5,Heike DRECHSLER,16 DEC 1964,GER,1,"Stade Louis II, Monaco (MON)",02 AUG 1994,1254
47,138,7.15,1.0,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Madrid (ESP),21 JUL 2007,1251
48,138,7.15,1.0,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",01 JUL 2012,1251
49,138,7.15,0.6,Brittney REESE,09 SEP 1986,USA,2,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1251
50,151,7.14,1.1,Heike DAUTE,16 DEC 1964,GDR,1,Bratislava (TCH),04 JUN 1983,1249
51,151,7.14,,Anișoara CUȘMIR-STANCIU,28 JUN 1962,ROU,1,Bucureşti (ROU),12 JUL 1984,1249
52,151,7.14,0.9,Jackie JOYNER-KERSEE,03 MAR 1962,USA,ce,"Stadio Olimpico, Roma (ITA)",01 SEP 1987,1249
53,151,7.14,-0.6,Yelena BELEVSKAYA,11 OCT 1963,URS,2,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,1252
54,151,7.14,1.8,Nijolé MEDVEDEVA,20 OCT 1960,URS,1,Riga (LAT),04 JUN 1988,1249
55,151,7.14,1.2,Mirela DULGHERU-RENDA,05 OCT 1966,ROU,1,Sofia (BUL),05 JUL 1992,1249
56,151,7.14,-0.7,Heike DRECHSLER,16 DEC 1964,GER,1,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1253
57,151,7.14,1.6,Heike DRECHSLER,16 DEC 1964,GER,1,Jena (GER),13 JUN 1993,1249
58,151,7.14,0.7,Heike DRECHSLER,16 DEC 1964,GER,1,"Olympiastadion, Helsinki (FIN)",12 AUG 1994,1249
59,151,7.14,1.2,Tianna BARTOLETTA,30 AUG 1985,USA,1,"National Stadium, Beijing (CHN)",28 AUG 2015,1249
60,151,7.14,1.0,Tara DAVIS,20 MAY 1999,USA,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2021,1249
61,162,7.13,,Helga RADTKE,16 MAY 1962,GDR,2,Leipzig (GER),11 AUG 1985,1247
62,162,7.13,0.3,Yelena BELEVSKAYA,11 OCT 1963,URS,3f1,Karl Marx Stadt (GDR),20 JUN 1987,1247
63,162,7.13,-0.7,Heike DRECHSLER,16 DEC 1964,GDR,3,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,1251
64,162,7.13,1.4,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Lappeenranta (FIN),09 JUL 1991,1247
65,162,7.13,0.4,Larisa BEREZHNAYA,28 FEB 1961,URS,1,"Letzigrund, Zürich (SUI)",07 AUG 1991,1247
66,162,7.13,1.2,Heike DRECHSLER,16 DEC 1964,GER,1,Linz (AUT),13 AUG 1992,1247
67,162,7.13,0.7,Heike DRECHSLER,16 DEC 1964,GER,1,Pretoria (RSA),15 MAY 1993,1247
68,162,7.13,0.7,Marion JONES,12 OCT 1975,USA,1,Moskva (RUS),05 SEP 1998,1247
69,162,7.13,2.0,Olga KUCHERENKO,05 NOV 1985,RUS,1,Sochi (RUS),27 MAY 2010,1247
70,162,7.13,2.0,Brittney REESE,09 SEP 1986,USA,1,"Chula Vista, CA (USA)",17 JUN 2017,1247
71,162,7.13,1.3,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1247
72,162,7.13,1.8,Brooke BUSCHKUEHL,12 JUL 1993,AUS,2,"CVEATC, Chula Vista, CA (USA)",09 JUL 2022,1247
73,174,7.12,1.6,Sabine PAETZ,16 OCT 1957,GDR,2,Dresden (GER),19 MAY 1984,1244
74,174,7.12,,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Tashkent (UZB),20 APR 1985,1244
75,174,7.12,0.6,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Leningrad (URS),01 AUG 1985,1244
76,174,7.12,-0.1,Jackie JOYNER,03 MAR 1962,USA,2,Bruxelles (BEL),05 SEP 1986,1244
77,174,7.12,0.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,San José (USA),27 JUN 1987,1244
78,174,7.12,0.8,Heike DRECHSLER,16 DEC 1964,GDR,1,Düsseldorf (GER),19 JUN 1988,1244
79,174,7.12,0.8,Larisa BEREZHNAYA,28 FEB 1961,URS,2,Volgograd (URS),11 JUN 1989,1244
80,174,7.12,0.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),18 AUG 1990,1244
81,174,7.12,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,2,Rieti (ITA),09 SEP 1990,1244
82,174,7.12,0.8,Heike DRECHSLER,16 DEC 1964,GER,1,London (GBR),19 JUN 1991,1244
83,174,7.12,0.3,Yelena SINCHUKOVA,23 JAN 1961,URS,q,Kiev (URS),10 JUL 1991,1244
84,174,7.12,-0.2,Inessa KRAVETS,05 OCT 1966,EUN,2,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1245
85,174,7.12,0.5,Heike DRECHSLER,16 DEC 1964,GER,2,Zürich (SUI),19 AUG 1992,1244
86,174,7.12,0.5,Heike DRECHSLER,16 DEC 1964,GER,1,Torino (ITA),04 SEP 1992,1244
87,174,7.12,1.3,Heike DRECHSLER,16 DEC 1964,GER,1,Villeneuve d'Ascq (FRA),08 JUL 1994,1244
88,174,7.12,1.0,Heike DRECHSLER,16 DEC 1964,GER,1,St. Petersburg (RUS),28 JUL 1994,1244
89,174,7.12,0.9,Chioma AJUNWA,25 DEC 1971,NGR,1,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1244
90,174,7.12,0.5,Tatyana KOTOVA,11 DEC 1976,RUS,1,Torino (ITA),09 JUN 2001,1244
91,174,7.12,1.3,Naide GOMES,20 NOV 1979,POR,1,"Stade Louis II, Monaco (MON)",29 JUL 2008,1244
92,174,7.12,-0.9,Brittney REESE,09 SEP 1986,USA,1,"Walnut, CA (USA)",21 APR 2012,1249
93,174,7.12,0.8,Brittney REESE,09 SEP 1986,USA,1,"Olympic Stadium, London (GBR)",08 AUG 2012,1244
94,174,7.12,-0.4,Tianna BARTOLETTA,30 AUG 1985,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1246
95,174,7.12,1.0,Malaika MIHAMBO,03 FEB 1994,GER,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1244
96,197,7.11,1.6,Valy IONESCU,31 AUG 1960,ROU,1,Madrid (ESP),21 JUN 1984,1242
97,197,7.11,0.6,Helga RADTKE,16 MAY 1962,GDR,2,Praha (TCH),17 AUG 1984,1242
98,197,7.11,-0.5,Galina CHISTYAKOVA,26 JUL 1962,URS,3,Praha (TCH),17 AUG 1984,1245
99,197,7.11,1.3,Galina CHISTYAKOVA,26 JUL 1962,URS,3,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1242
0,197,7.11,1.2,Larisa BEREZHNAYA,28 FEB 1961,URS,2,Sevilla (ESP),30 MAY 1991,1242
1,197,7.11,0.0,Larisa BEREZHNAYA,28 FEB 1961,URS,3,"National Stadium, Tokyo (JPN)",25 AUG 1991,1242
2,197,7.11,-0.3,Heike DRECHSLER,16 DEC 1964,GER,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1243
3,197,7.11,-0.1,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Bruxelles (BEL),19 AUG 1994,1242
4,197,7.11,0.8,Fiona MAY,12 DEC 1969,ITA,2,"Népstadion, Budapest (HUN)",22 AUG 1998,1242
5,197,7.11,0.1,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,1,Tula (RUS),15 JUL 2006,1242
6,197,7.11,1.1,Irina MELESHINA,25 MAY 1982,RUS,2,Sochi (RUS),27 MAY 2007,1242
7,197,7.11,1.3,Anna KLYASHTORNAYA,03 FEB 1986,RUS,1,Moskva (RUS),20 JUN 2012,1242
8,209,7.1,0.0,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Tokyo (JPN),21 SEP 1985,1240
9,209,7.1,-0.8,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Tokyo (JPN),21 SEP 1985,1244
10,209,7.1,0.4,Heike DRECHSLER,16 DEC 1964,GDR,1,Neubrandenburg (GDR),07 JUN 1986,1240
11,209,7.1,1.3,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Leningrad (URS),08 JUN 1986,1240
12,209,7.1,0.5,Valy IONESCU,31 AUG 1960,ROU,1,Pitesti (ROU),28 JUN 1986,1240
13,209,7.1,1.3,Galina CHISTYAKOVA,26 JUL 1962,URS,1,"Estadio Olímpico, Barcelona (ESP)",10 SEP 1989,1240
14,209,7.1,0.0,Inessa KRAVETS,05 OCT 1966,URS,1,São Paulo (BRA),20 MAY 1990,1240
15,209,7.1,0.0,Larisa BEREZHNAYA,28 FEB 1961,URS,2,São Paulo (BRA),20 MAY 1990,1240
16,209,7.1,0.6,Inessa KRAVETS,05 OCT 1966,URS,2,Bratislava (TCH),20 JUN 1990,1240
17,209,7.1,1.3,Larisa BEREZHNAYA,28 FEB 1961,URS,2,Kiev (URS),11 JUL 1991,1240
18,209,7.1,,Heike DRECHSLER,16 DEC 1964,GER,1,Trapani (ITA),21 SEP 1991,1240
19,209,7.1,1.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1ce,"Estadio Olímpico, Barcelona (ESP)",02 AUG 1992,1240
20,209,7.1,-0.3,Heike DRECHSLER,16 DEC 1964,GER,1,Oslo (NOR),10 JUL 1993,1241
